label,n_observations,run,shared_all_local_log_likelihood,local_all_local_log_likelihood,invalid_shared_k,valid_shared_all_local_k,local_k,invalid_shared_bic,local_bic,invalid_shared_bic_weight
INVALID: all-local optimization with shared-model penalty,2,71,1.249309778213501,0.4693410396575928,3,4,4,-0.4191780147471662,1.8339066429245956,0.7552002337981751
INVALID: all-local optimization with shared-model penalty,2,72,1.8028740882873535,1.42337965965271,3,4,4,-1.5263066348948713,-0.07417059706563878,0.6739418340425538
INVALID: all-local optimization with shared-model penalty,2,73,0.8799381256103516,0.03296804428100586,3,4,4,0.3195652904591326,2.7066526336777694,0.7673742479025507
INVALID: all-local optimization with shared-model penalty,2,74,1.8076400756835938,0.7300846576690674,3,4,4,-1.5358386096873518,1.3124194069016464,0.8059848986771704
INVALID: all-local optimization with shared-model penalty,2,75,2.185560464859009,1.7620432376861572,3,4,4,-2.291679388038182,-0.7514977531325333,0.683540539047678
INVALID: all-local optimization with shared-model penalty,2,76,1.9292957782745361,1.6112771034240723,3,4,4,-1.7791500148692365,-0.4499654846083634,0.6602912213844354
INVALID: all-local optimization with shared-model penalty,2,77,2.050786018371582,1.786837100982666,3,4,4,-2.0221304950633283,-0.8010854797255509,0.6480599839282539
INVALID: all-local optimization with shared-model penalty,2,78,1.0334773063659668,0.25567197799682617,3,4,4,0.012486928947902154,2.261244766246129,0.7548000572288961
INVALID: all-local optimization with shared-model penalty,2,79,1.7613873481750488,1.0022304058074951,3,4,4,-1.443333154670262,0.7681279106247909,0.7513322942217692
INVALID: all-local optimization with shared-model penalty,2,80,2.1278841495513916,1.158294916152954,3,4,4,-2.1763267574229475,0.45599888993387294,0.7885425919731596
INVALID: all-local optimization with shared-model penalty,2,81,1.6041758060455322,0.8928987979888916,3,4,4,-1.1289100704112287,0.9867911262619979,0.7422795776335318
INVALID: all-local optimization with shared-model penalty,2,82,1.9604716300964355,1.4020564556121826,3,4,4,-1.8415017185130353,-0.03152418898458409,0.7119736154400923
INVALID: all-local optimization with shared-model penalty,2,83,2.075913906097412,1.7495203018188477,3,4,4,-2.0723862705149885,-0.7264518813979142,0.6621672449798541
INVALID: all-local optimization with shared-model penalty,2,84,1.6957776546478271,1.2492070198059082,3,4,4,-1.3121137676158185,0.27417468262796474,0.6885060576480984
INVALID: all-local optimization with shared-model penalty,2,85,2.064401388168335,1.48746657371521,3,4,4,-2.049361234656834,-0.20234442519063878,0.7157564276916825
INVALID: all-local optimization with shared-model penalty,2,86,1.6302354335784912,1.1912345886230469,3,4,4,-1.1810293254771467,0.3901195449936874,0.6868802869986546
INVALID: all-local optimization with shared-model penalty,2,87,1.2714190483093262,0.3144218921661377,3,4,4,-0.4633965549388166,2.1437449379075058,0.7864353204495805
INVALID: all-local optimization with shared-model penalty,2,88,1.3508000373840332,0.47922420501708984,3,4,4,-0.6221585330882307,1.8141403122056015,0.7717377182322229
INVALID: all-local optimization with shared-model penalty,2,89,2.0029754638671875,1.5761244297027588,3,4,4,-1.9265093860545393,-0.37966013716573643,0.6842612427498235
