n_observations,model,configuration,metric,mean,std,median,q05,q25,q75,q95,count
2,Shared Global,all_global,no_penalty_weight,0.5104511962833493,0.10848422855991163,0.5279045653015642,0.3238280269939864,0.4466645054171275,0.5938330012137368,0.6569626351349729,100
2,Shared Global,all_local,global_error,0.10063859609887003,0.04816742120160311,0.09750237315893173,0.03587934225797653,0.0617130845785141,0.1302887164056301,0.18298629298806188,100
2,Shared Global,all_local,global_analytic_error,0.05795965036028065,0.043423924811224986,0.0491266380995512,0.009994321875274182,0.02541748434305191,0.07125625759363174,0.14934595674276352,100
2,Shared Global,all_local,local_rmse,0.08869929471053183,0.05336645599331638,0.07805388420820236,0.017414390249177816,0.04697417188435793,0.13278432562947273,0.18414587303996086,100
2,Shared Global,all_local,local_analytic_rmse,0.004561898766987724,0.0014538297353527282,0.00456715770997107,0.002513971785083413,0.0036540029104799032,0.005362558062188327,0.0072634736308827995,100
2,Shared Global,all_local,sharing_range,0.1145789884030819,0.08768219127814038,0.09737513214349747,0.011664876341819763,0.0506768599152565,0.14194009453058243,0.29861581325531006,100
2,Shared Global,all_local,sharing_std,0.05728949442505837,0.04384109594932393,0.048687566071748734,0.005832438170909881,0.02533842995762825,0.07097004726529121,0.14930790662765503,100
2,Shared Global,all_local,local_estimate_std,0.6055809544399381,0.4164162502392223,0.6018639206886292,0.05252986326813698,0.3091197684407234,0.8166818469762802,1.3027742505073545,100
2,Shared Global,all_local,log_likelihood,1.395997884273529,0.6538637945720797,1.6027302742004395,0.17622528076171878,1.0465394854545593,1.8498080968856812,2.0767806887626645,100
2,Shared Global,all_local,effective_k,4.0,0.0,4.0,4.0,4.0,4.0,4.0,100
2,Shared Global,all_local,aic,5.208004231452942,1.3077275891441593,4.794539451599121,3.8464386224746705,4.300383806228638,5.906921029090881,7.647549438476561,100
2,Shared Global,all_local,bic,-0.0194070463072769,1.3077275891441593,-0.43287182616109776,-1.3809726552855484,-0.9270274715315812,0.6795097513306625,2.420138160716343,100
2,Shared Global,all_local,aic_weight,0.6510973095281953,0.05612388215271629,0.6526827491194302,0.5728911630413194,0.6303707827836055,0.6853235335710752,0.7226460547520313,100
2,Shared Global,all_local,bic_weight,0.6510973095281953,0.05612388215271629,0.6526827491194302,0.5728911630413194,0.6303707827836055,0.6853235335710752,0.7226460547520313,100
2,Shared Global,all_local,no_penalty_weight,0.6510973095281953,0.05612388215271629,0.6526827491194302,0.5728911630413194,0.6303707827836055,0.6853235335710752,0.7226460547520313,100
2,Shared Global,correct_hierarchy,global_error,0.06999428261071444,0.04748208323617115,0.061149802058935165,0.004659327864646912,0.03410978615283966,0.10457508265972137,0.14595578610897064,100
2,Shared Global,correct_hierarchy,global_analytic_error,0.003965805247426033,0.0028538460755207,0.003429025411605835,0.0005874931812286377,0.0016347840428352356,0.006069272756576538,0.0092476487159729,100
2,Shared Global,correct_hierarchy,local_rmse,0.08851713283918798,0.05346220429671732,0.07737242802977562,0.01789739364758134,0.04644243139773607,0.1314595378935337,0.18510472401976585,100
2,Shared Global,correct_hierarchy,local_analytic_rmse,0.00456305275845807,0.001987731279848116,0.004332786658778787,0.0024159132735803723,0.0033107625204138458,0.005393724306486547,0.0067455010954290615,100
2,Shared Global,correct_hierarchy,sharing_range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2,Shared Global,correct_hierarchy,sharing_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
