n_observations,run,model,configuration,global_indices,local_indices,true_global,estimated_global,analytic_global_map,global_error,global_analytic_error,local_rmse,local_analytic_rmse,sharing_range,sharing_std,local_estimate_std,per_observation_log_likelihoods,log_likelihood,effective_k,aic,aicc,bic,aic_weight,bic_weight,no_penalty_weight,selected_by_aic,selected_by_bic,runtime_seconds
2,6,Fully Local,correct_hierarchy,[],"[0, 1]",1.1171012300968328,nan,1.1298476088968596,0.04239925742149353,0.0419064536690712,0.22683680057525635,0.002736461814492941,0.083274245262146,0.041637122631073,0.449828177690506,"[0.7264202833175659, 0.650354266166687]",1.376774549484253,4,5.246450901031494,nan,0.019039623271275286,0.23577459631349934,0.37225378744483123,0.4561165699005736,0,0,3.2760613749851473
2,6,Shared Global,all_local,[],"[0, 1]",1.1171012300968328,nan,1.1298476088968596,0.038977038115262985,0.03756316006183624,0.22169223427772522,0.003721932414919138,0.07500565052032471,0.037502825260162354,0.4458211660385132,"[0.8522847890853882, 0.9249328374862671]",1.7772176265716553,4,4.4455647468566895,nan,-0.7818465309035294,0.5987941094875198,0.5987941094875198,0.5987941094875198,1,1,3.453516934008803
2,6,Fully Local,all_local,[],"[0, 1]",1.1171012300968328,nan,1.1298476088968596,0.04239925742149353,0.0419064536690712,0.22683680057525635,0.002736461814492941,0.083274245262146,0.041637122631073,0.449828177690506,"[0.7264202833175659, 0.650354266166687]",1.376774549484253,4,5.246450901031494,nan,0.019039623271275286,0.4012058905124802,0.4012058905124802,0.4012058905124802,0,0,3.3723632369656116
2,6,Shared Global,all_global,"[0, 1]",[],1.1171012300968328,1.11663818359375,1.1298476088968596,0.0004630088806152344,0.01320946216583252,0.3697480857372284,0.44958245754241943,0.0,0.0,0.0,"[-2.5317296981811523, -1.6403065919876099]",-4.172036170959473,2,12.344072341918945,nan,9.730366703038836,0.567757695932005,0.567757695932005,0.567757695932005,1,1,3.5054315910092555
2,6,Fully Local,all_global,"[0, 1]",[],1.1171012300968328,1.113326072692871,1.1298476088968596,0.0037751197814941406,0.016521573066711426,0.36542826890945435,0.449471652507782,0.0,0.0,0.0,"[-2.6145191192626953, -1.8302255868911743]",-4.44474458694458,2,12.88948917388916,nan,10.275783535009051,0.432242304067995,0.432242304067995,0.432242304067995,0,0,3.6455518279690295
2,7,Shared Global,correct_hierarchy,[0],[1],-0.0059249258941319796,-0.10995052009820938,-0.11714239072918593,0.10402559489011765,0.007191874086856842,0.16016173362731934,0.004038355313241482,0.0,0.0,0.4340459108352661,"[-0.05367481708526611, 0.7443145513534546]",0.6906397342681885,3,4.618720531463623,nan,0.6981620731434588,0.8545180546878498,0.7534428264385034,0.6836259379640394,1,1,3.766013524029404
2,7,Fully Local,correct_hierarchy,[],"[0, 1]",-0.0059249258941319796,nan,-0.11714239072918593,0.11435248702764511,0.016077250242233276,0.1657048910856247,0.010337010957300663,0.03190040588378906,0.01595020294189453,0.4334399104118347,"[-0.45872557163238525, 0.3788796663284302]",-0.07984590530395508,4,8.15969181060791,nan,2.9322805328476913,0.1454819453121502,0.2465571735614967,0.31637406203596063,0,0,3.318029158981517
2,7,Shared Global,all_local,[],"[0, 1]",-0.0059249258941319796,nan,-0.11714239072918593,0.10750183463096619,0.016279729083180428,0.16199389100074768,0.006174886133521795,0.031084075570106506,0.015542037785053253,0.43374103307724,"[-0.03363192081451416, 0.7279175519943237]",0.6942856311798096,4,6.611428737640381,nan,1.384017459880162,0.6844139496393542,0.6844139496393542,0.6844139496393542,1,1,3.4233440670068376
2,7,Fully Local,all_local,[],"[0, 1]",-0.0059249258941319796,nan,-0.11714239072918593,0.11435248702764511,0.016077250242233276,0.1657048910856247,0.010337010957300663,0.03190040588378906,0.01595020294189453,0.4334399104118347,"[-0.45872557163238525, 0.3788796663284302]",-0.07984590530395508,4,8.15969181060791,nan,2.9322805328476913,0.3155860503606458,0.3155860503606458,0.3155860503606458,0,0,3.36682951299008
2,7,Shared Global,all_global,"[0, 1]",[],-0.0059249258941319796,-0.11820078641176224,-0.11714239072918593,0.1122758612036705,0.0010583922266960144,0.39680391550064087,0.43410125374794006,0.0,0.0,0.0,"[-3.5133886337280273, 0.030278563499450684]",-3.483109951019287,2,10.966219902038574,nan,8.352514263158465,0.663712265150721,0.663712265150721,0.663712265150721,1,1,3.5850743919727392
2,7,Fully Local,all_global,"[0, 1]",[],-0.0059249258941319796,-0.1253882348537445,-0.11714239072918593,0.11946330964565277,0.008245840668678284,0.40298977494239807,0.43441513180732727,0.0,0.0,0.0,"[-3.8241000175476074, -0.3388916254043579]",-4.162991523742676,2,12.325983047485352,nan,9.712277408605242,0.33628773484927904,0.33628773484927904,0.33628773484927904,0,0,3.6116829910315573
2,8,Shared Global,correct_hierarchy,[0],[1],-2.0201454885131773,-1.9005426168441772,-1.9098715740546321,0.11960279941558838,0.009328961372375488,0.07071080058813095,0.005898140370845795,0.0,0.0,0.8774571418762207,"[0.8904629945755005, 0.49212324619293213]",1.3825862407684326,3,3.2348275184631348,nan,-0.6857309398570295,0.868923015952612,0.7752232399496127,0.7091933774256698,1,1,3.7999572260305285
2,8,Fully Local,correct_hierarchy,[],"[0, 1]",-2.0201454885131773,nan,-1.9098715740546321,0.11482580751180649,0.005088345613330603,0.0707852691411972,0.006228996906429529,0.0046405792236328125,0.0023202896118164062,0.87703537940979,"[0.2873183488845825, 0.20379817485809326]",0.4911165237426758,4,7.017766952514648,nan,1.7903556747544296,0.13107698404738796,0.22477676005038738,0.29080662257433015,0,0,3.360476790985558
2,8,Shared Global,all_local,[],"[0, 1]",-2.0201454885131773,nan,-1.9098715740546321,0.12233547866344452,0.012994345277547836,0.07054641842842102,0.006120752543210983,0.010181307792663574,0.005090653896331787,0.8771835565567017,"[0.8994940519332886, 0.47188007831573486]",1.3713741302490234,4,5.257251739501953,nan,0.02984046174173427,0.7068756006464905,0.7068756006464905,0.7068756006464905,1,1,3.4036412069690414
2,8,Fully Local,all_local,[],"[0, 1]",-2.0201454885131773,nan,-1.9098715740546321,0.11482580751180649,0.005088345613330603,0.0707852691411972,0.006228996906429529,0.0046405792236328125,0.0023202896118164062,0.87703537940979,"[0.2873183488845825, 0.20379817485809326]",0.4911165237426758,4,7.017766952514648,nan,1.7903556747544296,0.29312439935350953,0.29312439935350953,0.29312439935350953,0,0,3.4584463219507597
2,8,Shared Global,all_global,"[0, 1]",[],-2.0201454885131773,-1.900583267211914,-1.9098715740546321,0.11956214904785156,0.009288311004638672,0.9470850825309753,0.883709728717804,0.0,0.0,0.0,"[-4.634882926940918, -5.20338773727417]",-9.83827018737793,2,23.67654037475586,nan,21.06283473587575,0.47429873790528365,0.47429873790528365,0.47429873790528365,0,0,3.6282795349834487
2,8,Fully Local,all_global,"[0, 1]",[],-2.0201454885131773,-1.9064936637878418,-1.9098715740546321,0.11365175247192383,0.0033779144287109375,0.9469489455223083,0.8851327300071716,0.0,0.0,0.0,"[-4.151900291442871, -5.583474636077881]",-9.735374450683594,2,23.470748901367188,nan,20.85704326248708,0.5257012620947163,0.5257012620947163,0.5257012620947163,1,1,3.6860175419715233
2,9,Shared Global,correct_hierarchy,[0],[1],0.38368154768100415,0.3295854926109314,0.32623720139339374,0.0540960431098938,0.0033482909202575684,0.02733650989830494,0.003795424709096551,0.0,0.0,0.948211669921875,"[0.99964439868927, 0.6523414850234985]",1.6519858837127686,3,2.696028232574463,nan,-1.2245302257457014,0.8166632144497783,0.6985653646192179,0.6210252045396458,1,1,3.8172489859862253
2,9,Fully Local,correct_hierarchy,[],"[0, 1]",0.38368154768100415,nan,0.32623720139339374,0.06994787603616714,0.027749061584472656,0.023770097643136978,0.006826270371675491,0.05361771583557129,0.026808857917785645,0.9488688707351685,"[0.8922630548477173, 0.26582086086273193]",1.1580839157104492,4,5.683832168579102,nan,0.4564208908188827,0.18333678555022165,0.30143463538078213,0.37897479546035423,0,0,3.423411523050163
2,9,Shared Global,all_local,[],"[0, 1]",0.38368154768100415,nan,0.32623720139339374,0.05907278507947922,0.02406560629606247,0.0277225524187088,0.003941576927900314,0.047651439905166626,0.023825719952583313,0.9478523135185242,"[1.0494180917739868, 0.7029811143875122]",1.752399206161499,4,4.495201587677002,nan,-0.7322096900832169,0.644354659993709,0.644354659993709,0.644354659993709,1,1,3.365782404958736
2,9,Fully Local,all_local,[],"[0, 1]",0.38368154768100415,nan,0.32623720139339374,0.06994787603616714,0.027749061584472656,0.023770097643136978,0.006826270371675491,0.05361771583557129,0.026808857917785645,0.9488688707351685,"[0.8922630548477173, 0.26582086086273193]",1.1580839157104492,4,5.683832168579102,nan,0.4564208908188827,0.355645340006291,0.355645340006291,0.355645340006291,0,0,3.3612811150378548
2,9,Shared Global,all_global,"[0, 1]",[],0.38368154768100415,0.324399471282959,0.32623720139339374,0.05928206443786621,0.0018377304077148438,0.941448986530304,0.9618975520133972,0.0,0.0,0.0,"[-4.352179527282715, -5.936657905578613]",-10.288837432861328,2,24.577674865722656,nan,21.963969226842547,0.4779424873218807,0.4779424873218807,0.4779424873218807,0,0,3.8812100799987093
2,9,Fully Local,all_global,"[0, 1]",[],0.38368154768100415,0.3443847596645355,0.32623720139339374,0.03929677605628967,0.018147557973861694,0.9344606995582581,0.9519407749176025,0.0,0.0,0.0,"[-5.037685394287109, -5.1628642082214355]",-10.200550079345703,2,24.401100158691406,nan,21.787394519811297,0.5220575126781193,0.5220575126781193,0.5220575126781193,1,1,3.792678755009547
2,10,Shared Global,correct_hierarchy,[0],[1],-1.0508492334902768,-1.0921087265014648,-1.1028948864734678,0.0412595272064209,0.010786175727844238,0.11026289314031601,0.008796467445790768,0.0,0.0,1.1412577629089355,"[1.0990091562271118, -0.9411855936050415]",0.1578235626220703,3,5.684352874755859,nan,1.7637944164356951,0.862039089214667,0.7647506499352615,0.6968474184862431,1,1,3.7125430410378613
2,10,Fully Local,correct_hierarchy,[],"[0, 1]",-1.0508492334902768,nan,-1.1028948864734678,0.05132022127509117,0.012517417781054974,0.11493935436010361,0.01467482652515173,0.024635910987854004,0.012317955493927002,1.1356425285339355,"[0.6262565851211548, -1.3007632493972778]",-0.674506664276123,4,9.349013328552246,nan,4.121602050792028,0.13796091078533304,0.23524935006473843,0.3031525815137569,0,0,3.3970193339628167
2,10,Shared Global,all_local,[],"[0, 1]",-1.0508492334902768,nan,-1.1028948864734678,0.043110333383083344,0.01512193027883768,0.11036869883537292,0.007634915877133608,0.02202141284942627,0.011010706424713135,1.141432285308838,"[1.1076151132583618, -0.8969298601150513]",0.21068525314331055,4,7.578629493713379,nan,2.35121821595316,0.7078969574720542,0.7078969574720543,0.7078969574720542,1,1,3.386580135964323
2,10,Fully Local,all_local,[],"[0, 1]",-1.0508492334902768,nan,-1.1028948864734678,0.05132022127509117,0.012517417781054974,0.11493935436010361,0.01467482652515173,0.024635910987854004,0.012317955493927002,1.1356425285339355,"[0.6262565851211548, -1.3007632493972778]",-0.674506664276123,4,9.349013328552246,nan,4.121602050792028,0.2921030425279458,0.2921030425279457,0.2921030425279458,0,0,3.2645949199795723
2,10,Shared Global,all_global,"[0, 1]",[],-1.0508492334902768,-1.0912833213806152,-1.1028948864734678,0.04043412208557129,0.011611580848693848,1.2653628587722778,1.1685106754302979,0.0,0.0,0.0,"[-2.780620574951172, -8.50352668762207]",-11.284147262573242,2,26.568294525146484,nan,23.954588886266375,0.3728802251922172,0.3728802251922172,0.3728802251922172,0,0,3.5732738050282933
2,10,Fully Local,all_global,"[0, 1]",[],-1.0508492334902768,-1.0868533849716187,-1.1028948864734678,0.03600418567657471,0.01604151725769043,1.2514320611953735,1.1498477458953857,0.0,0.0,0.0,"[-3.472931385040283, -7.291335105895996]",-10.764266967773438,2,25.528533935546875,nan,22.914828296666766,0.6271197748077828,0.6271197748077828,0.6271197748077828,1,1,3.4650086209876463
2,11,Shared Global,correct_hierarchy,[0],[1],2.2427579617915243,2.305859327316284,2.309521475337687,0.06310129165649414,0.003662109375,0.20067816972732544,0.007635743822902441,0.0,0.0,0.6664873957633972,"[-0.4636112451553345, 0.21742045879364014]",-0.24619078636169434,3,6.492381572723389,nan,2.5718231144032244,0.5932748384735,0.43145767935179496,0.349217643659807,1,0,3.7144148420193233
