n_observations,repeat,method,global_error_analytic_sigma,local_rmse_analytic_sigma,joint_mahalanobis_per_dimension,map_runtime_seconds,sampling_runtime_seconds
25,2,joint_score,1.9942424297332764,0.8571727871894836,0.39129137992858887,0.2206353701185435,0.2942148018628359
25,3,joint_score,0.04061063751578331,0.020850492641329765,0.0144839221611619,0.1863043641205877,0.2929122089408338
25,4,joint_score,0.2511140704154968,0.10832557082176208,0.050409235060214996,0.18526236689649522,0.2946040730457753
25,5,joint_score,0.3655622899532318,0.1559368520975113,0.0725744292140007,0.19095476903021336,0.29506560298614204
25,6,joint_score,0.5199366211891174,0.22301062941551208,0.10226848721504211,0.19103709794580936,0.29284903104417026
25,7,joint_score,2.995074987411499,1.2913531064987183,0.5875928997993469,0.26837679790332913,0.30111328698694706
25,8,joint_score,1.242125153541565,0.5342045426368713,0.24388018250465393,0.1883104369044304,0.29382249410264194
25,9,joint_score,2.4594969749450684,1.0600277185440063,0.48253166675567627,0.2284665210172534,0.3009678591042757
25,10,joint_score,0.053630344569683075,0.024026697501540184,0.015454445965588093,0.2027194951660931,0.29523279308341444
25,11,joint_score,1.2583847045898438,0.5404087901115417,0.24704396724700928,0.24143239296972752,0.3013355939183384
25,12,joint_score,0.9066342711448669,0.3890625834465027,0.17845392227172852,0.18454128107987344,0.29417626187205315
25,13,joint_score,2.2723443508148193,0.9789459109306335,0.44579434394836426,0.19374441192485392,0.3024602250661701
25,14,joint_score,1.437056303024292,0.6212127208709717,0.28212887048721313,0.1835867608897388,0.2942156989593059
25,15,joint_score,2.1302173137664795,0.9174882173538208,0.4179752767086029,0.18134134798310697,0.30240247095935047
25,16,joint_score,1.165932536125183,0.5026785731315613,0.22905723750591278,0.18943523615598679,0.29376858100295067
25,17,joint_score,0.8252199292182922,0.35784444212913513,0.16228623688220978,0.26175310416147113,0.29372265189886093
25,18,joint_score,0.01972704567015171,0.01314187329262495,0.012597443535923958,0.18344014300964773,0.29375899699516594
25,19,joint_score,2.5255579948425293,1.0865918397903442,0.49549391865730286,0.2416294631548226,0.2943813649471849
50,0,joint_score,1.2978631258010864,0.4202708303928375,0.18225407600402832,0.2635378111153841,0.3127710558474064
50,1,joint_score,1.2535834312438965,0.4027634263038635,0.176031231880188,0.2764411799144,0.30340391700156033
50,2,joint_score,1.6301637887954712,0.522895336151123,0.228608638048172,0.1912265350110829,0.30464403005316854
50,3,joint_score,1.0227577686309814,0.3309321403503418,0.14370357990264893,0.18788944906555116,0.3036960850004107
50,4,joint_score,2.1443932056427,0.6881256103515625,0.3005183935165405,0.1954859639517963,0.3052953330334276
50,5,joint_score,0.22748036682605743,0.07657428830862045,0.03414280340075493,0.2500938610173762,0.3025523000396788
50,6,joint_score,1.4297308921813965,0.4597804546356201,0.20057258009910583,0.19472613115794957,0.3075793271418661
50,7,joint_score,0.11198578029870987,0.038490522652864456,0.018409712240099907,0.28836444090120494,0.30237226793542504
50,8,joint_score,0.3762049973011017,0.12275342643260956,0.05421851575374603,0.28910100692883134,0.3114139880053699
50,9,joint_score,0.4695056974887848,0.1505252867937088,0.06687260419130325,0.2632514259312302,0.30154897598549724
50,10,joint_score,3.9834482669830322,1.2808713912963867,0.5579862594604492,0.1826613531447947,0.30471893516369164
50,11,joint_score,1.6899075508117676,0.5444461107254028,0.23688580095767975,0.2114888010546565,0.3036296109203249
50,12,joint_score,2.742724657058716,0.8810970187187195,0.3843748867511749,0.1914043719880283,0.3099602828733623
50,13,joint_score,2.2014615535736084,0.7067022323608398,0.30853840708732605,0.2631796458736062,0.30319177405908704
50,14,joint_score,1.046290397644043,0.3371516168117523,0.14697331190109253,0.22578293085098267,0.31241393904201686
50,15,joint_score,0.9872930645942688,0.3191346824169159,0.1387270838022232,0.18293529888615012,0.30325521901249886
50,16,joint_score,1.0811066627502441,0.3464449644088745,0.15189136564731598,0.1835767631419003,0.31197793991304934
50,17,joint_score,1.4499316215515137,0.46732014417648315,0.20352673530578613,0.1853700140491128,0.30312659218907356
50,18,joint_score,2.2237792015075684,0.7165354490280151,0.3116716146469116,0.18351203692145646,0.30934776295907795
50,19,joint_score,4.322763442993164,1.3895864486694336,0.6055054664611816,0.1871687879320234,0.30444898805581033
