training_scheme,variant,variant_label,family,timesteps,model_seed,observation,repeat,runtime_s,runtime_per_sample_ms,mean_error,covariance_error,runtime_device,posterior_width_ratio
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0,2,0,0.1493076889892108,0.1990769186522811,0.2352798879146576,0.1838956624269485,,1.359440565109253
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0,2,1,0.1520788729540072,0.2027718306053429,0.2660253345966339,0.1750125288963318,,1.3429473638534546
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0,2,0,0.106029808986932,0.1413730786492427,0.1897437870502472,0.2132245898246765,,
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0,2,1,0.1068338019540533,0.1424450692720711,0.2335769087076187,0.1880523711442947,,
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0,2,0,0.1504375579534098,0.2005834106045464,0.1316571086645126,0.2529908418655395,,
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0,2,1,0.1501588780083693,0.2002118373444924,0.2007051706314087,0.192262053489685,,
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0,2,0,0.251104975992348,0.334806634656464,0.1678964495658874,0.1881735473871231,,
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0,2,1,0.2488526829984039,0.3318035773312052,0.1583652794361114,0.1579335927963256,,
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0,2,0,0.5270750900381245,0.7027667867174993,0.0962136462330818,0.0919193997979164,,1.171960949897766
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0,2,1,0.5267103060032241,0.7022804080042988,0.1402355432510376,0.0820105001330375,,1.1536182165145874
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,5,0,2,0,0.0150944909546524,0.0201259879395365,0.2209376245737075,0.1365474909543991,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,5,0,2,1,0.0137002149713225,0.0182669532950967,0.2177140116691589,0.1372580677270889,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,10,0,2,0,0.0303802679991349,0.0405070239988466,0.1468929350376129,0.1398803740739822,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,10,0,2,1,0.0295170039753429,0.0393560053004572,0.1648519188165664,0.1472983211278915,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,20,0,2,0,0.0598094149609096,0.0797458866145461,0.1475159525871276,0.1555334776639938,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,20,0,2,1,0.0602073479676619,0.0802764639568825,0.1563248038291931,0.1556406170129776,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,50,0,2,0,0.1546034999773837,0.206137999969845,0.129702091217041,0.1644335240125656,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,50,0,2,1,0.162726825044956,0.2169691000599414,0.1398974061012268,0.1652227491140365,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0,2,0,0.014384564012289,0.019179418683052,0.243356317281723,0.9908719062805176,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0,2,1,0.0151561489910818,0.0202081986547758,0.3531274497509002,0.9114692807197572,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0,2,0,0.0297301370301283,0.0396401827068378,0.161683514714241,0.5199328660964966,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0,2,1,0.0298346939962357,0.0397795919949809,0.2061438560485839,0.4430789351463318,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0,2,0,0.0602688579820096,0.0803584773093462,0.162090316414833,0.366858571767807,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0,2,1,0.062215908023063,0.0829545440307508,0.1818383485078811,0.3317718505859375,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0,2,0,0.1723979079979472,0.2298638773305962,0.1199282109737396,0.2168568819761276,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0,2,1,0.1650845989934168,0.2201127986578891,0.1856271028518676,0.1855156868696212,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,0,2,0,0.0157988650025799,0.0210651533367733,0.2630928456783294,1.6805464029312134,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,0,2,1,0.0143110479693859,0.0190813972925146,0.321298211812973,1.463823914527893,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,0,2,0,0.030674994981382,0.0408999933085093,0.1338411420583725,0.4911575019359588,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,0,2,1,0.0309415189549326,0.0412553586065769,0.2035489827394485,0.4707754850387573,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,0,2,0,0.0611171260243281,0.0814895013657708,0.1564458608627319,0.2684068083763122,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,0,2,1,0.0607635889900848,0.0810181186534464,0.1356755197048187,0.2577035427093506,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,0,2,0,0.15339704597136,0.20452939462848,0.1213226094841957,0.1695528030395507,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,0,2,1,0.1530478690401651,0.2040638253868868,0.1704710721969604,0.1528984606266021,,
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,5,0,3,0,0.0135388619964942,0.0180518159953256,1.3240714073181152,0.1807407885789871,,
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,5,0,3,1,0.0152283849893137,0.020304513319085,1.3049027919769287,0.1950578391551971,,
