training_scheme,variant,variant_label,family,timesteps,runtime_s_median,mean_error_median,mean_error_lo,mean_error_hi,covariance_error_median,covariance_error_lo,covariance_error_hi,posterior_width_ratio_median,posterior_width_ratio_lo,posterior_width_ratio_hi
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0.524217508995207,0.09727185219526291,0.07494610473513597,0.6412188887596131,0.1133907958865165,0.09265871047973631,0.13699820488691325,1.2222524285316467,1.1732699036598204,1.2682987809181214
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,0.01550299150403585,0.29039801657199854,0.16347649246454232,1.1737865090370179,1.5418832302093506,1.3612357497215268,1.865346050262451,,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,0.03101544297533105,0.1683987826108932,0.1351091831922531,0.913594114780426,0.5163722336292267,0.4389304131269455,0.5630682289600373,,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,0.062255710014142054,0.13777450472116465,0.1055865682661533,0.7750458419322968,0.29123008251190186,0.26483867466449734,0.37117544710636136,,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,0.15588506252970546,0.12209529057145116,0.09575150236487388,0.7556207954883576,0.1950674653053283,0.16969336420297615,0.229102548956871,,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0.01525676652090615,0.2774317264556885,0.1289103150367736,1.181361663341522,0.9722243249416351,0.9053113162517548,1.0513650417327882,,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0.030523189023369847,0.19389556348323816,0.16325222253799437,0.9598143935203552,0.5282900035381317,0.43304539024829863,0.5543869018554688,,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0.0618745209940243,0.16068738698959345,0.11886598914861675,0.8603118658065796,0.3651941269636154,0.31216627061367036,0.43322120308876033,,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0.15667445701546967,0.12932838499546045,0.08794945254921908,0.7984450101852417,0.25106579065322876,0.21338949203491203,0.2794062227010726,,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,5,0.01508048048708585,0.2124841436743736,0.14474706798791878,1.1259438872337342,0.12938536703586573,0.12263672724366186,0.13624195754528043,,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,10,0.030030130961677,0.1478249654173851,0.11592605486512182,0.9065531671047211,0.1445653364062309,0.1403425097465515,0.14760065525770183,,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,20,0.06159965347615065,0.14704310894012446,0.09361352249979972,0.828794538974762,0.15177525579929352,0.14843481183052062,0.15503533780574794,,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,50,0.1548174885101616,0.1328210830688476,0.0892240762710571,0.7485022723674775,0.15963100641965866,0.1540365234017372,0.1633282750844955,,,
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,5,0.01448767949477765,0.3761034309864044,0.24970609098672863,1.3292505145072937,0.1656797155737877,0.13302943408489226,0.19986311644315713,,,
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,10,0.0292370285314973,0.3313188850879669,0.21723262071609495,1.2040596008300781,0.25215068459510803,0.22743394523859023,0.30780175328254694,,,
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,20,0.059220047492999556,0.3205857127904892,0.22617817819118496,1.231396245956421,0.27950114011764526,0.2579789936542511,0.3290876120328903,,,
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,50,0.1481051854789257,0.3204337805509567,0.21837265342473983,1.1769033789634704,0.2733289450407028,0.22923164516687386,0.3201036244630814,,,
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0.01523500701296135,0.34911453723907465,0.24206035137176507,1.271458625793457,0.1206607744097709,0.08797296211123463,0.16051352620124817,,,
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0.03075348000857045,0.2980235815048218,0.20187021046876905,1.1376674890518188,0.19234727323055265,0.1663992524147033,0.24483466893434516,,,
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0.0619828185299411,0.2928323596715927,0.20616772919893261,1.1707524180412292,0.2260503992438316,0.20236001014709468,0.27175548970699304,,,
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0.15375860998756247,0.3009065985679626,0.20629211366176606,1.1365892767906187,0.2353970780968666,0.19746980071067807,0.2816093504428863,1.4757912755012512,1.3683529257774354,1.5535933852195738
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0.014974671008530949,0.3183391541242599,0.20871152132749557,1.267135453224182,0.15525384247303003,0.12877560704946517,0.1892988353967666,,,
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0.0300395480007864,0.2732725292444229,0.19100536853075023,1.1199027180671692,0.19923906028270716,0.172515021264553,0.2540284633636474,,,
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0.060720396984834155,0.2795197516679764,0.1955327421426773,1.1585860133171082,0.2287037149071693,0.20525452047586437,0.27257445752620696,,,
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0.15307216151268221,0.2948022186756134,0.2021383926272392,1.1306097626686096,0.23516144603490824,0.19792659431695933,0.2817574739456176,,,
