training_scheme,variant,model_seed,observation,repeat,timesteps,posterior_width_ratio,empirical_rms_width,analytic_rms_width
uniform,sigma_log_dpm,1,2,0,50,1.414615273475647,0.49102532863616943,0.34710875153541565
uniform,sigma_log_dpm,1,2,1,50,1.406727910041809,0.4882875680923462,0.34710875153541565
uniform,dpm2_log,1,2,0,50,1.2406364679336548,0.4306357800960541,0.34710875153541565
uniform,dpm2_log,1,2,1,50,1.228950023651123,0.4265793263912201,0.34710875153541565
uniform,sigma_log_dpm,1,3,0,50,1.5974268913269043,0.5544808506965637,0.34710875153541565
uniform,sigma_log_dpm,1,3,1,50,1.5998042821884155,0.555306077003479,0.34710875153541565
uniform,dpm2_log,1,3,0,50,1.331487774848938,0.4621710479259491,0.34710875153541565
uniform,dpm2_log,1,3,1,50,1.3361536264419556,0.463790625333786,0.34710875153541565
uniform,sigma_log_dpm,2,0,0,50,1.509552001953125,0.5239787101745605,0.34710875153541565
uniform,sigma_log_dpm,2,0,1,50,1.415311336517334,0.49126696586608887,0.34710875153541565
uniform,dpm2_log,2,0,0,50,1.2168220281600952,0.4223695695400238,0.34710875153541565
uniform,dpm2_log,2,0,1,50,1.202378511428833,0.41735610365867615,0.34710875153541565
uniform,sigma_log_dpm,2,1,0,50,1.4752191305160522,0.5120614767074585,0.34710875153541565
uniform,sigma_log_dpm,2,1,1,50,1.4763634204864502,0.5124586820602417,0.34710875153541565
uniform,dpm2_log,2,1,0,50,1.1927884817123413,0.41402730345726013,0.34710875153541565
uniform,dpm2_log,2,1,1,50,1.2086200714111328,0.41952258348464966,0.34710875153541565
uniform,sigma_log_dpm,2,2,0,50,1.3767752647399902,0.4778907597064972,0.34710875153541565
uniform,sigma_log_dpm,2,2,1,50,1.3647433519363403,0.4737143814563751,0.34710875153541565
uniform,dpm2_log,2,2,0,50,1.1892160177230835,0.4127872884273529,0.34710875153541565
uniform,dpm2_log,2,2,1,50,1.1773518323898315,0.408669114112854,0.34710875153541565
uniform,sigma_log_dpm,2,3,0,50,1.5416276454925537,0.5351124405860901,0.34710875153541565
uniform,sigma_log_dpm,2,3,1,50,1.5512830018997192,0.5384638905525208,0.34710875153541565
uniform,dpm2_log,2,3,0,50,1.2586685419082642,0.43689486384391785,0.34710875153541565
uniform,dpm2_log,2,3,1,50,1.2717394828796387,0.4414319097995758,0.34710875153541565
mixture,sigma_log_dpm,0,0,0,50,1.5416710376739502,0.5351275205612183,0.34710875153541565
mixture,sigma_log_dpm,0,0,1,50,1.4510167837142944,0.5036606192588806,0.34710875153541565
mixture,dpm2_log,0,0,0,50,1.3278924226760864,0.46092307567596436,0.34710875153541565
mixture,dpm2_log,0,0,1,50,1.311728835105896,0.4553125500679016,0.34710875153541565
mixture,sigma_log_dpm,0,1,0,50,1.490312099456787,0.5173003673553467,0.34710875153541565
mixture,sigma_log_dpm,0,1,1,50,1.4872287511825562,0.5162301063537598,0.34710875153541565
mixture,dpm2_log,0,1,0,50,1.2914260625839233,0.44826528429985046,0.34710875153541565
mixture,dpm2_log,0,1,1,50,1.3088431358337402,0.45431089401245117,0.34710875153541565
mixture,sigma_log_dpm,0,2,0,50,1.4159601926803589,0.4914921820163727,0.34710875153541565
mixture,sigma_log_dpm,0,2,1,50,1.4033206701278687,0.4871048927307129,0.34710875153541565
mixture,dpm2_log,0,2,0,50,1.3042477369308472,0.45271578431129456,0.34710875153541565
mixture,dpm2_log,0,2,1,50,1.288443922996521,0.44723016023635864,0.34710875153541565
mixture,sigma_log_dpm,0,3,0,50,1.537343978881836,0.5336255431175232,0.34710875153541565
mixture,sigma_log_dpm,0,3,1,50,1.5462545156478882,0.536718487739563,0.34710875153541565
mixture,dpm2_log,0,3,0,50,1.3334403038024902,0.46284881234169006,0.34710875153541565
mixture,dpm2_log,0,3,1,50,1.3585981130599976,0.47158128023147583,0.34710875153541565
mixture,sigma_log_dpm,1,0,0,50,1.6542261838912964,0.5741963982582092,0.34710875153541565
mixture,sigma_log_dpm,1,0,1,50,1.5455808639526367,0.5364846587181091,0.34710875153541565
mixture,dpm2_log,1,0,0,50,1.4095187187194824,0.48925626277923584,0.34710875153541565
