compass_mean,compass_std,exact_mean,exact_std,family,index,mean_error_in_exact_std,n_observations,parameter,runtime_seconds,shared_synchronization_max_abs,std_ratio_to_exact,truth
1.34415864944458,0.05303386226296425,1.3465288729494076,0.034745558749408934,original,0,0.06821658911638133,25,local,49.98019528307486,0.0,1.526349425315857,1.3717528597604374
1.2214224338531494,0.053134236484766006,1.2229616264555234,0.03800127280359254,original,1,0.040503711818528756,25,local,49.98019528307486,0.0,1.39822256565094,1.2166542142247603
-1.713856816291809,0.05084878206253052,-1.7108184671140632,0.02802260038849134,original,2,0.1084249547016968,25,local,49.98019528307486,0.0,1.814563274383545,-1.6981153273636793
1.648125171661377,0.051261767745018005,1.647634147603971,0.029101360840440307,original,3,0.016872889900169878,25,local,49.98019528307486,0.0,1.7614904642105103,1.6688579094475795
0.9897626042366028,0.06566541641950607,0.9741109655822249,0.046878505073482346,original,4,0.3338766590326178,25,local,49.98019528307486,0.0,1.4007574319839478,0.9779809508884321
0.668462336063385,0.07213205099105835,0.669048864372687,0.059970601221055776,original,5,0.00978026395199815,25,local,49.98019528307486,0.0,1.2027901411056519,0.6487081877924252
-1.7772939205169678,0.052365805953741074,-1.7756385747359373,0.027174586851290265,original,6,0.060915214280501215,25,local,49.98019528307486,0.0,1.927013874053955,-1.752883613073935
0.9611186385154724,0.05918955057859421,0.955954030179358,0.046358015945735395,original,7,0.11140701841424548,25,local,49.98019528307486,0.0,1.2767921686172485,0.9680270489054204
-0.23264890909194946,0.09209888428449631,-0.2451127510464894,0.08106446806492319,original,8,0.15375222032614666,25,local,49.98019528307486,0.0,1.13611900806427,-0.18423111267464876
-0.48092707991600037,0.08083393424749374,-0.4832013708020412,0.07150716241465886,original,9,0.0318050781102535,25,local,49.98019528307486,0.0,1.1304312944412231,-0.5433115726557105
1.5764433145523071,0.05163487046957016,1.576152182785838,0.030351804627011484,original,10,0.009591909609553124,25,local,49.98019528307486,0.0,1.7012125253677368,1.5808349202759824
0.2983261048793793,0.0911332368850708,0.3023995701130039,0.08334700391497073,original,11,0.04887356524273268,25,local,49.98019528307486,0.0,1.0934194326400757,0.3550164880092037
1.9681168794631958,0.052728671580553055,1.9687257035812078,0.019543861559527344,original,12,0.031151679833466898,25,local,49.98019528307486,0.0,2.6979658603668213,1.9652727205924059
-0.010888082906603813,0.1011064201593399,-0.017148360655396908,0.09108660932676717,original,13,0.06872884823645992,25,local,49.98019528307486,0.0,1.110003113746643,0.011683095505452545
-0.808667004108429,0.06784747540950775,-0.8122087924205245,0.05332676397081057,original,14,0.06641671176661258,25,local,49.98019528307486,0.0,1.2722969055175781,-0.883016244480026
0.3057622015476227,0.09195555001497269,0.31005974756592286,0.08189247916530203,original,15,0.05247790837575543,25,local,49.98019528307486,0.0,1.122881531715393,0.3090967595304064
-1.8308504819869995,0.048955682665109634,-1.8284349960233168,0.026417340029439792,original,16,0.09143562376041034,25,local,49.98019528307486,0.0,1.853164792060852,-1.8950051107364123
0.40361031889915466,0.08607383817434311,0.4131887543430377,0.0800358637812181,original,17,0.11967679226985234,25,local,49.98019528307486,0.0,1.0754408836364746,0.4078734860812707
-1.8096225261688232,0.04970915988087654,-1.8069600953454885,0.026700842584007557,original,18,0.09971336353742587,25,local,49.98019528307486,0.0,1.8617074489593506,-1.8012520180457345
0.022671721875667572,0.09879789501428604,0.01625226914909808,0.08902755169121407,original,19,0.07210636038644443,25,local,49.98019528307486,0.0,1.1097451448440552,0.011808080988597869
1.2518219947814941,0.052949458360672,1.2545860751299334,0.03699438217003524,original,20,0.07471621868787627,25,local,49.98019528307486,0.0,1.431283712387085,1.2980199322889288
0.5138139724731445,0.07855217158794403,0.5194074456693257,0.06755690171093853,original,21,0.08279647311409377,25,local,49.98019528307486,0.0,1.1627556085586548,0.4004208616716589
1.204379677772522,0.05590534582734108,1.2069947988368848,0.03814635147928664,original,22,0.0685549459633851,25,local,49.98019528307486,0.0,1.4655489921569824,1.2736373536948826
0.3904481530189514,0.08223212510347366,0.39713854861237713,0.0717767131660259,original,23,0.09321122824265073,25,local,49.98019528307486,0.0,1.1456658840179443,0.33463773640856553
0.2792876660823822,0.0958133414387703,0.2813282005526083,0.08877469635260989,original,24,0.022985541534506514,25,local,49.98019528307486,0.0,1.0792865753173828,0.14170479922167356
1.3439819812774658,0.052455123513936996,1.3465288729494076,0.034745558749408934,original,0,0.07330121499298385,50,local,95.36577693605796,0.0,1.509692907333374,1.3717528597604374
1.2208707332611084,0.0525021106004715,1.2229616264555234,0.03800127280359254,original,1,0.05502166217488785,50,local,95.36577693605796,0.0,1.3815882205963135,1.2166542142247603
-1.7135307788848877,0.05146070569753647,-1.7108184671140632,0.02802260038849134,original,2,0.09679015270611585,50,local,95.36577693605796,0.0,1.836400032043457,-1.6981153273636793
1.6495498418807983,0.0660553053021431,1.647634147603971,0.029101360840440307,original,3,0.06582834003299023,50,local,95.36577693605796,0.0,2.2698357105255127,1.6688579094475795
0.9881278276443481,0.06571561098098755,0.9741109655822249,0.046878505073482346,original,4,0.29900403266170184,50,local,95.36577693605796,0.0,1.4018281698226929,0.9779809508884321
0.6690306067466736,0.07061205059289932,0.669048864372687,0.059970601221055776,original,5,0.0003044429377333554,50,local,95.36577693605796,0.0,1.1774444580078125,0.6487081877924252
-1.7765312194824219,0.05211377143859863,-1.7756385747359373,0.027174586851290265,original,6,0.032848512154736054,50,local,95.36577693605796,0.0,1.9177392721176147,-1.752883613073935
0.9612772464752197,0.05848623812198639,0.955954030179358,0.046358015945735395,original,7,0.11482838916343746,50,local,95.36577693605796,0.0,1.2616208791732788,0.9680270489054204
-0.2344386726617813,0.091541588306427,-0.2451127510464894,0.08106446806492319,original,8,0.1316739459285591,50,local,95.36577693605796,0.0,1.129244327545166,-0.18423111267464876
-0.48075389862060547,0.0794633999466896,-0.4832013708020412,0.07150716241465886,original,9,0.034226951521907654,50,local,95.36577693605796,0.0,1.111264944076538,-0.5433115726557105
1.5731754302978516,0.07776501029729843,1.576152182785838,0.030351804627011484,original,10,0.0980749752631613,50,local,95.36577693605796,0.0,2.5621213912963867,1.5808349202759824
0.29740196466445923,0.09279774129390717,0.3023995701130039,0.08334700391497073,original,11,0.05996142889123091,50,local,95.36577693605796,0.0,1.1133902072906494,0.3550164880092037
1.9669878482818604,0.05387235805392265,1.9687257035812078,0.019543861559527344,original,12,0.08892077412921845,50,local,95.36577693605796,0.0,2.7564847469329834,1.9652727205924059
-0.013547576032578945,0.10055653750896454,-0.017148360655396908,0.09108660932676717,original,13,0.039531437710019345,50,local,95.36577693605796,0.0,1.1039661169052124,0.011683095505452545
-0.8091059327125549,0.06681113690137863,-0.8122087924205245,0.05332676397081057,original,14,0.05818578659053716,50,local,95.36577693605796,0.0,1.2528631687164307,-0.883016244480026
0.30541542172431946,0.08928006887435913,0.31005974756592286,0.08189247916530203,original,15,0.05671248311128443,50,local,95.36577693605796,0.0,1.0902109146118164,0.3090967595304064
-1.8306421041488647,0.05141288414597511,-1.8284349960233168,0.026417340029439792,original,16,0.08354770476846994,50,local,95.36577693605796,0.0,1.9461795091629028,-1.8950051107364123
0.4069971442222595,0.09057117253541946,0.4131887543430377,0.0800358637812181,original,17,0.07736044603333381,50,local,95.36577693605796,0.0,1.1316323280334473,0.4078734860812707
