candidate_family,correct,criterion,exact_log_evidence,generating_family,learned_log_likelihood,n_observations,repeat,runtime_seconds,score,selected,support_weight
original,0,bic,-883.5184191828254,horizontal,-62.478450775146484,25,0,1.0919853060040623,128.17577737516118,0,1.1319664970573297e-08
vertical,0,bic,-686.9598961717311,horizontal,-42.572288513183594,25,0,3.9341658939956687,91.58232867610359,1,0.9999999886803349
horizontal,0,bic,-33.797841976213974,horizontal,-86.7806167602539,25,0,3.895860171003733,179.99898517024423,0,6.317816143258733e-20
original,1,exact_evidence,-883.5184191828254,horizontal,-62.478450775146484,25,0,1.0919853060040623,1767.0368383656507,0,0.0
vertical,1,exact_evidence,-686.9598961717311,horizontal,-42.572288513183594,25,0,3.9341658939956687,1373.9197923434622,0,2.164332965252936e-284
horizontal,1,exact_evidence,-33.797841976213974,horizontal,-86.7806167602539,25,0,3.895860171003733,67.59568395242795,1,1.0
original,0,aicc,-1811.4477189489094,horizontal,-115.06257629394531,50,0,1.5672823200002313,232.20848592122397,0,6.695555541407125e-18
vertical,0,aicc,-1683.4558009317348,horizontal,-74.4314956665039,50,0,6.884281624981668,153.11831048194398,1,1.0
horizontal,0,aicc,-67.26985247675273,horizontal,-161.90774536132812,50,0,6.858706336992327,328.0708098715924,0,1.0222272640705255e-38
original,0,bic,-1811.4477189489094,horizontal,-115.06257629394531,50,0,1.5672823200002313,234.03717559331878,0,1.5981991373129812e-17
vertical,0,bic,-1683.4558009317348,horizontal,-74.4314956665039,50,0,6.884281624981668,156.6870373438641,1,1.0
horizontal,0,bic,-67.26985247675273,horizontal,-161.90774536132812,50,0,6.858706336992327,331.63953673351256,0,1.022227264070511e-38
original,1,exact_evidence,-1811.4477189489094,horizontal,-115.06257629394531,50,0,1.5672823200002313,3622.8954378978187,0,0.0
vertical,1,exact_evidence,-1683.4558009317348,horizontal,-74.4314956665039,50,0,6.884281624981668,3366.9116018634695,0,0.0
horizontal,1,exact_evidence,-67.26985247675273,horizontal,-161.90774536132812,50,0,6.858706336992327,134.53970495350546,1,1.0
