variant,n_observations,repeat,mean_error_sigma,std_ratio,runtime_seconds,prior_std,likelihood_std
Langevin + uncorrected,200,0,0.27259862422943115,1.044791579246521,0.7269357709446922,0.3,0.5
Langevin + F-NPSE,200,0,3.5043692588806152,1.3153183460235596,1.1711087379371747,0.3,0.5
DPM + uncorrected,200,1,0.015302355401217937,1.0313787460327148,0.4497986390488222,0.3,0.5
DPM + Gaussian,200,1,0.02378392405807972,0.9915967583656311,0.5266123489709571,0.3,0.5
Langevin + Gaussian,200,1,0.028837498277425766,1.0401297807693481,0.8298980710096657,0.3,0.5
Langevin + uncorrected,200,1,0.0295619647949934,1.0324931144714355,0.7262013690778986,0.3,0.5
Langevin + F-NPSE,200,1,0.23059304058551788,1.2990919351577759,1.1705884189577773,0.3,0.5
DPM + uncorrected,200,2,0.07149744033813477,1.0253105163574219,0.4476965080248192,0.3,0.5
DPM + Gaussian,200,2,0.026077015325427055,1.003183364868164,0.5221034019486979,0.3,0.5
Langevin + Gaussian,200,2,0.025120973587036133,1.029976725578308,0.8330474569229409,0.3,0.5
Langevin + uncorrected,200,2,0.031766634434461594,1.0426478385925293,0.726904658949934,0.3,0.5
Langevin + F-NPSE,200,2,0.9381215572357178,1.3257548809051514,1.1678291129646823,0.3,0.5
