variant,n_observations,repeat,mean_error_sigma,std_ratio,runtime_seconds,prior_std,likelihood_std
DPM + uncorrected,25,1,0.15771907567977905,0.8716945648193359,0.393715888960287,1.0,1.0
DPM + Gaussian,25,1,0.026817895472049713,1.0148811340332031,0.46956463903188705,1.0,1.0
Langevin + Gaussian,25,1,0.03770584985613823,1.0313150882720947,0.72121916199103,1.0,1.0
Langevin + uncorrected,25,1,0.09857442229986191,1.0303913354873657,0.6133380850078538,1.0,1.0
Langevin + F-NPSE,25,1,0.10019763559103012,1.0807373523712158,1.042686520027928,1.0,1.0
DPM + uncorrected,25,2,0.035274580121040344,0.8921899795532227,0.4021461920347065,1.0,1.0
DPM + Gaussian,25,2,0.0353572703897953,1.005349040031433,0.46843661996535957,1.0,1.0
Langevin + Gaussian,25,2,0.037541747093200684,1.036252498626709,0.7241055299527943,1.0,1.0
Langevin + uncorrected,25,2,0.03137397766113281,1.0147716999053955,0.6144467920530587,1.0,1.0
Langevin + F-NPSE,25,2,0.07678253203630447,1.0803935527801514,0.9767928110668436,1.0,1.0
DPM + uncorrected,50,0,0.12657861411571503,0.9122156500816345,0.40244671201799065,1.0,1.0
DPM + Gaussian,50,0,0.02424718625843525,1.003410816192627,0.4699738019844517,1.0,1.0
Langevin + Gaussian,50,0,0.039054207503795624,1.0188621282577515,0.7283719909610227,1.0,1.0
Langevin + uncorrected,50,0,0.03870615363121033,1.0160645246505737,0.6268073229584843,1.0,1.0
Langevin + F-NPSE,50,0,0.12167947739362717,1.0893242359161377,0.9727425470482558,1.0,1.0
DPM + uncorrected,50,1,0.0994592010974884,0.8978073596954346,0.3972598679829389,1.0,1.0
DPM + Gaussian,50,1,0.03960324823856354,1.0057966709136963,0.46587621606886387,1.0,1.0
Langevin + Gaussian,50,1,0.010660672560334206,1.016236424446106,0.7194159759674221,1.0,1.0
Langevin + uncorrected,50,1,0.02188470959663391,1.019517183303833,0.6145369680598378,1.0,1.0
Langevin + F-NPSE,50,1,0.10438502579927444,1.0777394771575928,0.9894271329976618,1.0,1.0
DPM + uncorrected,50,2,0.09491858631372452,0.8904602527618408,0.3930970550281927,1.0,1.0
DPM + Gaussian,50,2,0.027590736746788025,1.0076730251312256,0.46530039398930967,1.0,1.0
Langevin + Gaussian,50,2,0.018224457278847694,1.0436080694198608,0.7266966499155387,1.0,1.0
Langevin + uncorrected,50,2,0.04109816998243332,0.992766261100769,0.6197339019272476,1.0,1.0
Langevin + F-NPSE,50,2,0.09639503806829453,1.0874948501586914,0.9765652919886634,1.0,1.0
DPM + uncorrected,100,0,0.11025020480155945,0.9518203735351562,0.4106286410242319,1.0,1.0
DPM + Gaussian,100,0,0.014802534133195877,1.020282506942749,0.4749500169418752,1.0,1.0
Langevin + Gaussian,100,0,0.03863455727696419,1.0282022953033447,0.7223839510697871,1.0,1.0
Langevin + uncorrected,100,0,0.055343061685562134,1.0173251628875732,0.6193288241047412,1.0,1.0
Langevin + F-NPSE,100,0,0.23440752923488617,1.0975958108901978,0.9932066680630669,1.0,1.0
DPM + uncorrected,100,1,0.08782358467578888,0.9386065006256104,0.399004646926187,1.0,1.0
DPM + Gaussian,100,1,0.042635075747966766,1.0008114576339722,0.4698046629782766,1.0,1.0
Langevin + Gaussian,100,1,0.033597081899642944,1.0291800498962402,0.7242237849859521,1.0,1.0
Langevin + uncorrected,100,1,0.01466398872435093,1.0078579187393188,0.629508494050242,1.0,1.0
Langevin + F-NPSE,100,1,0.15283863246440887,1.073171854019165,0.9844822679879144,1.0,1.0
DPM + uncorrected,100,2,0.03262581676244736,0.9528527855873108,0.40047281701117754,1.0,1.0
DPM + Gaussian,100,2,0.009528109803795815,1.0133867263793945,0.4781724050408229,1.0,1.0
Langevin + Gaussian,100,2,0.012050324119627476,1.0180286169052124,0.7243749229237437,1.0,1.0
Langevin + uncorrected,100,2,0.03339314088225365,0.985575795173645,0.6160638009896502,1.0,1.0
Langevin + F-NPSE,100,2,0.04948834702372551,1.0805193185806274,0.986307465005666,1.0,1.0
DPM + uncorrected,200,0,0.08254696428775787,0.9667180776596069,0.45074452098924667,1.0,1.0
DPM + Gaussian,200,0,0.03350856155157089,0.9951233863830566,0.52247783401981,1.0,1.0
Langevin + Gaussian,200,0,0.01056811772286892,1.0274990797042847,0.8339921919396147,1.0,1.0
Langevin + uncorrected,200,0,0.07268235087394714,1.0140156745910645,0.7256373070413247,1.0,1.0
Langevin + F-NPSE,200,0,0.4109535217285156,1.0829330682754517,1.1630740120308474,1.0,1.0
DPM + uncorrected,200,1,0.012030349113047123,0.9839818477630615,0.44618415099103004,1.0,1.0
DPM + Gaussian,200,1,0.02380754053592682,0.9915614724159241,0.5142326699569821,1.0,1.0
Langevin + Gaussian,200,1,0.028671128675341606,1.0366322994232178,0.8280875659547746,1.0,1.0
Langevin + uncorrected,200,1,0.035592447966337204,1.0073866844177246,0.7223549099871889,1.0,1.0
Langevin + F-NPSE,200,1,0.081159308552742,1.0735799074172974,1.1638585820328444,1.0,1.0
DPM + uncorrected,200,2,0.03131760656833649,0.9760568141937256,0.4448611850384623,1.0,1.0
DPM + Gaussian,200,2,0.026054266840219498,1.0031594038009644,0.5140894569922239,1.0,1.0
Langevin + Gaussian,200,2,0.025112876668572426,1.0266835689544678,0.8279349349904805,1.0,1.0
Langevin + uncorrected,200,2,0.02278861403465271,1.0136082172393799,0.7215951529797167,1.0,1.0
Langevin + F-NPSE,200,2,0.10205245763063431,1.0937230587005615,1.1643447750248015,1.0,1.0
