index,true_label,probability_Circle 1p,probability_Horizontally scaled circle 2p,probability_Axis-scaled circle 3p
186,1,0.6717307,0.26275545,0.065513834
187,1,0.6700152,0.2803107,0.049674105
188,1,0.62586284,0.27372992,0.100407206
189,1,0.6409882,0.297387,0.061624844
190,1,0.6362691,0.2999746,0.06375633
191,1,0.6121876,0.3085256,0.07928679
192,1,0.6646555,0.28678417,0.048560314
193,1,0.6656314,0.27936456,0.055004038
194,1,0.6584373,0.27830485,0.0632578
195,1,0.5432416,0.39118955,0.06556884
196,1,0.62668055,0.30088252,0.07243697
197,1,0.55703366,0.29841664,0.14454968
198,1,0.6136335,0.27727678,0.10908972
199,1,0.64464015,0.26646587,0.08889397
200,2,0.0005844546,0.60949105,0.38992456
201,2,0.009743221,0.4017973,0.5884595
202,2,0.00029567385,0.5998292,0.39987507
203,2,0.023643047,0.4834316,0.49292532
204,2,0.00010575052,0.5457616,0.4541327
205,2,0.0027471236,0.543791,0.4534619
206,2,0.005062595,0.63393015,0.36100724
207,2,0.0038419785,0.63270557,0.3634525
208,2,0.0007058783,0.70500886,0.29428527
209,2,0.003958193,0.699743,0.29629886
210,2,0.010211252,0.3727022,0.6170865
211,2,0.01543304,0.48069173,0.5038752
212,2,0.0050871014,0.47573358,0.51917934
213,2,0.015208277,0.5458935,0.43889824
214,2,0.003595709,0.48855275,0.5078516
215,2,0.061752982,0.5149241,0.42332295
216,2,9.2250775e-05,0.69565845,0.30424932
217,2,0.019684618,0.39174616,0.5885692
218,2,0.0014075291,0.61316186,0.38543063
219,2,0.0007826706,0.49093717,0.50828016
220,2,0.018738389,0.50883085,0.47243077
221,2,0.00020651755,0.61247027,0.38732323
222,2,0.033139687,0.5135531,0.4533072
223,2,0.0080946665,0.43670866,0.55519664
224,2,0.022092573,0.44010034,0.53780705
225,2,0.019623008,0.5732415,0.4071355
226,2,0.0002702202,0.584995,0.41473475
227,2,0.008387517,0.59854686,0.39306557
228,2,0.00017737424,0.5579099,0.4419127
229,2,0.00032626037,0.5819366,0.41773713
230,2,0.014879181,0.44827235,0.5368485
231,2,0.012702677,0.46063325,0.526664
232,2,5.6436405e-05,0.33906952,0.66087407
233,2,0.008030358,0.5484272,0.4435424
234,2,3.2650965e-05,0.7039627,0.29600465
235,2,0.005360397,0.32874963,0.66589
236,2,0.017117139,0.46927854,0.51360434
237,2,0.0033170965,0.2714423,0.7252405
238,2,0.008350919,0.546955,0.44469413
239,2,0.005607413,0.6791332,0.31525946
240,2,0.0068803886,0.5996788,0.39344084
241,2,0.00010289366,0.59979695,0.40010017
242,2,0.008579897,0.51352143,0.4778986
243,2,0.0010803578,0.49071506,0.5082045
244,2,0.062235326,0.5548871,0.38287756
245,2,7.352802e-05,0.54854417,0.45138237
246,2,5.792305e-06,0.50704205,0.49295217
247,2,0.021537267,0.44067556,0.53778714
248,2,0.00041241507,0.3197976,0.67978996
249,2,0.002901287,0.5697508,0.42734793
250,2,0.010037112,0.3862834,0.60367954
251,2,0.0025040982,0.61749774,0.37999818
252,2,0.0038098053,0.44935238,0.5468378
253,2,0.02402743,0.7167337,0.25923887
