method,sde,time_grid,timesteps,theta_index,theta_true,theta_mode,analytic_log_prob,method_log_prob,absolute_log_prob_error,median_runtime_seconds
Heun + exact PF-ODE likelihood,VESDE,uniform_t,100,9,-2.0067704,-2.2441282,0.4312535718092801,0.42829440461058166,0.0029591671986984314,0.005880982801318169
Euler PF-ODE + KDE,VESDE,uniform_t,100,0,-2.0590172,-2.1671157,0.4312535718092801,0.4676344893316409,0.036380917522360834,0.01322145180311054
Euler PF-ODE + KDE,VESDE,uniform_t,100,1,-2.24755,-2.1222744,0.4312535718092801,0.4517381613838081,0.020484589574528034,0.01322145180311054
Euler PF-ODE + KDE,VESDE,uniform_t,100,2,-2.2733066,-2.4073713,0.4312535718092801,0.47222812882672205,0.04097455701744196,0.01322145180311054
Euler PF-ODE + KDE,VESDE,uniform_t,100,3,-2.4841154,-2.3091683,0.4312535718092801,0.5092027770019901,0.07794920519271004,0.01322145180311054
Euler PF-ODE + KDE,VESDE,uniform_t,100,4,-2.2861452,-2.2408478,0.4312535718092801,0.4563264107749095,0.025072838965629396,0.01322145180311054
Euler PF-ODE + KDE,VESDE,uniform_t,100,5,-2.7104778,-2.419225,0.4312535718092801,0.4787625044720553,0.04750893266277523,0.01322145180311054
Euler PF-ODE + KDE,VESDE,uniform_t,100,6,-2.1987514,-2.1505857,0.4312535718092801,0.5098321535914956,0.0785785817822155,0.01322145180311054
Euler PF-ODE + KDE,VESDE,uniform_t,100,7,-1.9966652,-2.1117482,0.4312535718092801,0.5278868088517117,0.0966332370424316,0.01322145180311054
Euler PF-ODE + KDE,VESDE,uniform_t,100,8,-2.7305539,-2.3484304,0.4312535718092801,0.5167898679455897,0.08553629613630959,0.01322145180311054
Euler PF-ODE + KDE,VESDE,uniform_t,100,9,-2.0067704,-2.2441282,0.4312535718092801,0.43329706391885053,0.002043492109570444,0.01322145180311054
DPM-2 + KDE,VESDE,uniform_t,200,0,-2.0590172,-2.1671157,0.4312535718092801,0.38573025323845034,0.04552331857082975,0.06696674479171634
DPM-2 + KDE,VESDE,uniform_t,200,1,-2.24755,-2.1222744,0.4312535718092801,0.437046152386873,0.0057925805775929096,0.06696674479171634
DPM-2 + KDE,VESDE,uniform_t,200,2,-2.2733066,-2.4073713,0.4312535718092801,0.40892991585030575,0.022323655958974342,0.06696674479171634
DPM-2 + KDE,VESDE,uniform_t,200,3,-2.4841154,-2.3091683,0.4312535718092801,0.422070200676932,0.009183371132348073,0.06696674479171634
DPM-2 + KDE,VESDE,uniform_t,200,4,-2.2861452,-2.2408478,0.4312535718092801,0.43299278805162117,0.0017392162423410795,0.06696674479171634
DPM-2 + KDE,VESDE,uniform_t,200,5,-2.7104778,-2.419225,0.4312535718092801,0.41539552644565236,0.015858045363627726,0.06696674479171634
DPM-2 + KDE,VESDE,uniform_t,200,6,-2.1987514,-2.1505857,0.4312535718092801,0.36952102495214967,0.06173254685713042,0.06696674479171634
DPM-2 + KDE,VESDE,uniform_t,200,7,-1.9966652,-2.1117482,0.4312535718092801,0.4280894421733948,0.0031641296358853044,0.06696674479171634
DPM-2 + KDE,VESDE,uniform_t,200,8,-2.7305539,-2.3484304,0.4312535718092801,0.42567350357944655,0.005580068229833535,0.06696674479171634
DPM-2 + KDE,VESDE,uniform_t,200,9,-2.0067704,-2.2441282,0.4312535718092801,0.4531389001724131,0.021885328363133005,0.06696674479171634
Heun + exact PF-ODE likelihood,VESDE,uniform_t,200,0,-2.0590172,-2.1671157,0.4312535718092801,0.43071460189872246,0.0005389699105576296,0.011954648001119495
Heun + exact PF-ODE likelihood,VESDE,uniform_t,200,1,-2.24755,-2.1222744,0.4312535718092801,0.43071460189872246,0.0005389699105576296,0.011954648001119495
Heun + exact PF-ODE likelihood,VESDE,uniform_t,200,2,-2.2733066,-2.4073713,0.4312535718092801,0.43071460189872246,0.0005389699105576296,0.011954648001119495
Heun + exact PF-ODE likelihood,VESDE,uniform_t,200,3,-2.4841154,-2.3091683,0.4312535718092801,0.43071460189872246,0.0005389699105576296,0.011954648001119495
Heun + exact PF-ODE likelihood,VESDE,uniform_t,200,4,-2.2861452,-2.2408478,0.4312535718092801,0.43071460189872246,0.0005389699105576296,0.011954648001119495
