true_model,run_index,selected_model,correct,probability_percent_Logistic Prey,probability_percent_Satiated Predator,probability_percent_Rosenzweig-MacArthur,probability_percent_Lotka-Volterra,aic_Logistic Prey,aic_Satiated Predator,aic_Rosenzweig-MacArthur,aic_Lotka-Volterra
Satiated Predator,4,Satiated Predator,True,0.0,100.0,0.0,0.0,-1428.2156982421875,-344.625244140625,-3464.918212890625,-1957.1549072265625
Satiated Predator,5,Satiated Predator,True,0.0,100.0,0.0,0.0,-820.760498046875,-323.63555908203125,-2335.0166015625,-690.476318359375
Satiated Predator,6,Satiated Predator,True,0.0,100.0,0.0,0.0,-1070.6153564453125,-308.9964599609375,-2449.74609375,-1450.2208251953125
Satiated Predator,7,Satiated Predator,True,0.0,100.0,0.0,0.0,-1604.9534912109375,-223.82107543945312,-3107.879150390625,-1684.998291015625
Satiated Predator,8,Satiated Predator,True,0.0,100.0,0.0,0.0,-739.4146118164062,-17.421600341796875,-2203.1259765625,-834.7686157226562
Satiated Predator,9,Satiated Predator,True,0.0,100.0,0.0,0.0,-1063.2059326171875,-233.71942138671875,-2307.4130859375,-1391.278076171875
Satiated Predator,10,Satiated Predator,True,0.0,100.0,0.0,0.0,-1090.826416015625,-515.5418701171875,-2535.07421875,-2183.51953125
Satiated Predator,11,Satiated Predator,True,0.0,100.0,0.0,0.0,-631.2131958007812,88.42453002929688,-1755.73291015625,-730.1768188476562
Satiated Predator,12,Satiated Predator,True,0.0,100.0,0.0,0.0,-881.2318725585938,-3.62081241607666,-2144.484619140625,-1161.406005859375
Satiated Predator,13,Satiated Predator,True,0.0,100.0,0.0,0.0,-960.3453979492188,-424.4029541015625,-2418.186767578125,-1078.765625
Satiated Predator,14,Satiated Predator,True,0.0,100.0,0.0,0.0,-396.2457275390625,40.585479736328125,-947.599853515625,-534.9775390625
Satiated Predator,15,Satiated Predator,True,0.0,100.0,0.0,0.0,-1334.232421875,-149.2681427001953,-3157.046142578125,-1492.2366943359375
Satiated Predator,16,Satiated Predator,True,0.0,100.0,0.0,0.0,-975.185546875,-30.133453369140625,-2637.048583984375,-1289.96923828125
Satiated Predator,17,Satiated Predator,True,0.0,100.0,0.0,0.0,-1743.6575927734375,-586.10302734375,-2941.042724609375,-2333.787353515625
Satiated Predator,18,Satiated Predator,True,0.0,100.0,0.0,0.0,-1357.3741455078125,-346.02178955078125,-3031.8818359375,-1219.4625244140625
Satiated Predator,19,Satiated Predator,True,0.0,100.0,0.0,0.0,-1735.186279296875,-285.0196228027344,-3635.8115234375,-1767.46044921875
Satiated Predator,20,Logistic Prey,False,100.0,0.0,0.0,0.0,-1039.8212890625,-2376.910888671875,-2683.21435546875,-1819.128662109375
Satiated Predator,21,Satiated Predator,True,0.0,100.0,0.0,0.0,-622.6341552734375,-227.7000274658203,-1101.537353515625,-898.1181030273438
Satiated Predator,22,Satiated Predator,True,0.0,100.0,0.0,0.0,-908.4601440429688,45.797760009765625,-1911.938232421875,-1684.64013671875
Satiated Predator,23,Satiated Predator,True,0.0,100.0,0.0,0.0,-1819.9273681640625,-273.58538818359375,-3218.5234375,-1995.203125
Satiated Predator,24,Satiated Predator,True,0.0,100.0,0.0,0.0,-1423.0914306640625,-65.8533935546875,-3780.86181640625,-1619.2662353515625
Satiated Predator,25,Satiated Predator,True,0.0,100.0,0.0,0.0,-1046.4608154296875,49.65203094482422,-1797.6536865234375,-1302.8387451171875
Satiated Predator,26,Satiated Predator,True,0.0,100.0,0.0,0.0,-837.4873046875,-569.9005126953125,-2051.35400390625,-943.161376953125
Satiated Predator,27,Satiated Predator,True,0.0,100.0,0.0,0.0,-799.8671264648438,-114.3615951538086,-2179.6865234375,-1118.3658447265625
