index,true_label,probability_Hypothesis 1,probability_Hypothesis 2,probability_Hypothesis 3
145,1,0.0010904219,0.57457614,0.42433345
146,1,0.009918167,0.5436981,0.44638374
147,1,7.550638e-06,0.9999925,0.0
148,1,0.37787512,0.6221249,0.0
149,1,0.23151298,0.18320893,0.5852781
150,1,1.1506935e-07,0.9999999,0.0
151,1,0.0052965987,0.5524502,0.44225317
152,1,9.102129e-06,0.9994061,0.000584905
153,1,0.2502152,0.7497849,0.0
154,1,0.0010426338,0.57760185,0.42135555
155,1,0.24816123,0.75183874,0.0
156,1,0.48337784,0.5166221,0.0
157,1,0.06838818,0.48721814,0.44439372
158,1,9.619118e-08,0.9998864,0.00011346794
159,1,0.060991812,0.2197397,0.71926844
160,1,0.0031877097,0.9968123,0.0
161,1,0.38618147,0.23030959,0.38350886
162,1,0.12462334,0.4197617,0.45561486
163,1,0.33708462,0.22173609,0.4411793
164,1,0.034279864,0.9657201,0.0
165,1,0.0,1.0,0.0
166,1,0.32691908,0.21206349,0.4610175
167,1,1.1358019e-06,0.9999988,0.0
168,1,0.0012586775,0.35174936,0.64699197
169,1,0.0019924752,0.9924124,0.005595127
170,1,0.0004588309,0.51423717,0.48530403
171,1,0.041466594,0.9585334,0.0
172,1,0.21831878,0.78168124,0.0
173,1,0.3404296,0.5499925,0.10957791
174,1,0.07614089,0.46375248,0.46010667
175,1,0.2501047,0.18787572,0.5620196
176,1,0.33702672,0.20815401,0.45481926
177,1,0.69803554,0.30196446,0.0
178,1,0.55861294,0.44138706,0.0
179,1,0.0010179597,0.35435876,0.6446233
180,1,0.0013556412,0.9986444,0.0
181,1,0.6660772,0.11314735,0.22077544
182,1,0.005769325,0.43758702,0.55664366
183,1,0.0,1.0,0.0
184,1,0.5685155,0.43148452,0.0
185,1,6.636441e-12,1.0,0.0
186,1,0.0,1.0,0.0
187,1,0.21504404,0.047017913,0.73793805
188,1,0.00024119939,0.5776108,0.42214802
189,1,0.5993982,0.40060174,0.0
190,1,0.35369316,0.30776083,0.33854598
191,1,0.001526871,0.55804974,0.44042343
192,1,0.0,1.0,0.0
193,1,0.10502038,0.4593375,0.4356421
194,1,0.03322016,0.5181113,0.44866857
195,1,0.2328049,0.094539486,0.67265564
196,1,2.3495943e-06,0.99970967,0.00028794614
197,1,0.027568186,0.9724318,0.0
198,1,0.21499288,0.181455,0.6035521
199,1,9.0909713e-10,1.0,0.0
200,2,0.2912304,0.006222859,0.7025467
201,2,0.35062793,0.2789229,0.37044924
202,2,0.3451486,0.08344094,0.5714105
203,2,0.0022387789,0.5811879,0.41657332
204,2,0.5624141,0.26520592,0.17238
205,2,0.24129143,0.31174135,0.44696724
206,2,0.6449413,0.051456776,0.30360192
207,2,0.44073167,0.004015097,0.5552532
208,2,0.34401256,0.13551009,0.52047735
209,2,0.4778208,0.07352077,0.4486584
210,2,0.4551636,0.11619469,0.42864165
211,2,0.09370506,0.4256797,0.48061523
212,2,0.62485963,0.0055113407,0.369629
213,2,0.31040174,0.23439203,0.4552062
214,2,0.0016628276,0.38706964,0.61126757
215,2,0.1642168,0.32177,0.5140132
216,2,0.17458063,0.10557492,0.71984446
217,2,0.376922,0.26557538,0.35750264
218,2,0.2724853,0.009330565,0.7181842
219,2,0.20770612,0.30955473,0.48273918
220,2,0.018269373,0.37783197,0.6038987
221,2,0.022731425,0.5260349,0.45123366
222,2,0.2616642,0.30076176,0.43757406
223,2,0.7465568,6.810883e-05,0.2533751
224,2,0.3545512,0.19543594,0.45001283
225,2,0.08178484,0.24059035,0.6776248
