c_true,n_observations,run,configuration,model,global_indices,local_indices,a_true,a_reference,c_reference,a_error,a_reference_error,c_error,c_reference_error,b_rmse,b_reference_rmse,a_sharing_range,a_sharing_std,c_sharing_range,c_sharing_std,b_inferred_std,global_parameter_rmse,per_unit_log_likelihood,total_log_likelihood,effective_k,aic,bic,aic_weight,bic_weight,selected_model_aic,selected_model_bic,selected_aic,selected_bic,mispenalized_aic_weight,mispenalized_bic_weight,mispenalized_selected_model_aic,mispenalized_selected_model_bic,runtime_seconds
0.0,5,0,curvature_local,linear,[0],[1],0.26948838914625234,0.2812291383743286,0.023973435163497925,0.003868967294692993,0.007871776819229126,0.0,0.023973435163497925,0.10619786381721497,0.058615684509277344,0.0,0.0,nan,nan,1.288482904434204,0.003868967294692993,"[0.3094348907470703, -0.47856807708740234, 2.092536449432373, 0.8989472389221191, 0.5993566513061523]",3.4217071533203125,6,5.156585693359375,2.813213348388672,0.9995590706377147,0.9988302334805799,linear,linear,1,1,0.976481887247616,0.9715544144053854,linear,linear,1.118769168970175
0.0,5,0,curvature_local,quadratic,[0],"[1, 2]",0.26948838914625234,0.2812291383743286,0.023973435163497925,0.015688568353652954,0.003947824239730835,0.14067350327968597,0.13669046759605408,0.12790943682193756,0.023355277255177498,0.0,0.0,0.3523089289665222,0.13624273240566254,1.2220178842544556,0.10008788108825684,"[0.13846588134765625, 0.31407642364501953, 0.7910547256469727, 0.06389617919921875, -0.611971378326416]",0.6955218315124512,11,20.60895538330078,16.312774658203125,0.00044092936228525367,0.0011697665194202232,linear,linear,0,0,0.023518112752384045,0.028445585594614728,linear,linear,1.053018816979602
0.0,5,0,all_local,linear,[],"[0, 1]",0.26948838914625234,0.2812291383743286,0.023973435163497925,0.12012110650539398,0.12137247622013092,0.0,0.023973435163497925,0.10460782051086426,0.06544601172208786,0.3314511775970459,0.11991702020168304,nan,nan,1.2947536706924438,0.12012110650539398,"[0.6133379936218262, 0.7054758071899414, 1.5939126014709473, 1.342043399810791, 0.6189837455749512]",4.873753547668457,10,10.252492904663086,6.346872329711914,0.9865801949258252,0.9651458784743739,linear,linear,1,1,nan,nan,,,1.0314268229994923
0.0,5,0,all_local,quadratic,[],"[0, 1, 2]",0.26948838914625234,0.2812291383743286,0.023973435163497925,0.12212704122066498,0.11997274309396744,0.1422298103570938,0.1377660632133484,0.13760864734649658,0.038539621978998184,0.3337458372116089,0.11885467171669006,0.333638072013855,0.13704465329647064,1.2091073989868164,0.13256004452705383,"[0.5422945022583008, 2.870884418487549, 1.1134567260742188, 1.6973657608032227, -0.6477608680725098]",5.576240539550781,15,18.847518920898438,12.98908805847168,0.013419805074174708,0.03485412152562599,linear,linear,0,0,nan,nan,,,1.0305280310567468
0.0,5,0,all_global,linear,"[0, 1]",[],0.26948838914625234,0.2812291383743286,0.023973435163497925,0.03339257836341858,0.02165183424949646,0.0,0.023973435163497925,1.3123204708099365,1.2574697732925415,0.0,0.0,nan,nan,0.0,0.03339257836341858,"[-1.4961953163146973, -1.853559970855713, 2.4017019271850586, -0.28884363174438477, -3.5331473350524902]",-4.770044326782227,2,13.540088653564453,12.758964538574219,0.9765905231495153,0.9716851777434151,linear,linear,1,1,nan,nan,,,1.0010668019531295
0.0,5,0,all_global,quadratic,"[0, 1, 2]",[],0.26948838914625234,0.2812291383743286,0.023973435163497925,0.07769379019737244,0.06595304608345032,0.06183343753218651,0.03786000609397888,1.310094952583313,1.2556942701339722,0.0,0.0,0.0,0.0,0.0,0.07021288573741913,"[-1.3539247512817383, -1.5256948471069336, 0.09802484512329102, -0.6605305671691895, -4.0588459968566895]",-7.50097131729126,3,21.001941680908203,19.830257415771484,0.023409476850484688,0.02831482225658488,linear,linear,0,0,nan,nan,,,1.092556015937589
0.0,10,0,correct,linear,[0],[1],0.26948838914625234,0.26389116048812866,0.08349967747926712,0.02900998294353485,0.02341274917125702,0.0,0.08349967747926712,0.09485339373350143,0.10470535606145859,0.0,1.4901161193847656e-08,nan,nan,1.0937896966934204,0.02900998294353485,"[0.1723647117614746, -0.35549354553222656, 2.1431045532226562, 0.6288843154907227, 0.525090217590332, 1.8240571022033691, 0.8466506004333496, -0.5811610221862793, 0.3668956756591797, -1.851058006286621]",3.719334602355957,11,14.561330795288086,17.889766693115234,0.9934384306516681,0.9943545003887854,linear,linear,1,1,nan,nan,,,1.1818663029698655
0.0,10,0,correct,quadratic,"[0, 1]",[2],0.26948838914625234,0.26389116048812866,0.08349967747926712,0.002317279577255249,0.007914513349533081,0.11536985635757446,0.031870171427726746,0.14016413688659668,0.0749693512916565,0.0,2.9802322387695312e-08,0.0,7.450580596923828e-09,1.1002870798110962,0.08159526437520981,"[0.14169597625732422, -1.4553980827331543, 0.6086406707763672, -0.3645172119140625, -0.5703363418579102, 0.2974209785461426, 1.0638518333435059, -0.461153507232666, 1.1731758117675781, -0.7339878082275391]",-0.30060768127441406,12,24.601215362548828,28.232236862182617,0.006561569348331911,0.0056454996112147455,linear,linear,0,0,nan,nan,,,1.1642292939359322
0.0,10,0,curvature_local,linear,[0],[1],0.26948838914625234,0.26389116048812866,0.08349967747926712,0.022509083151817322,0.01691184751689434,0.0,0.08349967747926712,0.09474089741706848,0.10578405112028122,0.0,0.0,nan,nan,1.0938286781311035,0.022509083151817322,"[0.19790267944335938, -0.38294219970703125, 2.1046690940856934, 0.6817283630371094, 0.5408501625061035, 1.770948886871338, 0.8033447265625, -0.6538739204406738, 0.4587221145629883, -1.8451642990112305]",3.6761856079101562,11,14.647628784179688,17.976064682006836,0.999870474071046,0.9999714671248162,linear,linear,1,1,0.4878775992222776,0.5256758186451468,quadratic,linear,1.0464015130419284
0.0,10,0,curvature_local,quadratic,[0],"[1, 2]",0.26948838914625234,0.26389116048812866,0.08349967747926712,0.007426261901855469,0.0130234956741333,0.181208997964859,0.1500350683927536,0.12432888895273209,0.020245006307959557,0.0,0.0,0.4798714220523834,0.1486847847700119,1.0710864067077637,0.1282416731119156,"[0.0819849967956543, 0.4209561347961426, 0.8452239036560059, 0.0006732940673828125, -0.6351714134216309, 2.2692813873291016, 0.9712848663330078, -0.7404985427856445, 1.2411789894104004, 0.26977109909057617]",4.724684715270996,21,32.550628662109375,38.90491485595703,0.0001295259289540947,2.853287518376486e-05,linear,linear,0,0,0.5121224007777225,0.47432418135485316,quadratic,linear,1.1569354659877717
