training_scheme,variant,variant_label,family,timesteps,runtime_s_median,mean_error_median,mean_error_lo,mean_error_hi,covariance_error_median,covariance_error_lo,covariance_error_hi,posterior_width_ratio_median,posterior_width_ratio_lo,posterior_width_ratio_hi
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0.1436149159562774,0.13376520574092865,0.08597321510314941,0.8889748990535736,0.3170125484466553,0.28619166910648347,0.3774590790271759,1.5813891887664795,1.529326844215393,1.6895899057388306
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,100,0.28644399397308007,0.14327572286128998,0.08568151742219925,0.834849613904953,0.26133015751838684,0.23574627935886383,0.31712653338909147,1.4836267232894897,1.457717478275299,1.6013684153556824
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0.013710339029785246,0.35302387177944183,0.24713079631328583,1.3348873615264893,0.12967976182699203,0.10292211174964905,0.17728262841701506,1.2880882620811462,1.1994943618774414,1.393264400959015
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0.027644738496746868,0.30391429364681244,0.20612225979566573,1.204855740070343,0.22695111483335495,0.19182268679141998,0.28728100657463074,1.4468321204185486,1.374723446369171,1.5632113218307495
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0.055925716005731374,0.30024412274360657,0.2120965972542763,1.2406243324279784,0.27264708280563354,0.23612336069345474,0.35253095626831055,1.512629508972168,1.4475237846374511,1.6462919592857361
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0.14155392546672374,0.3083813637495041,0.21160379350185396,1.2072907447814942,0.2696322947740555,0.23119551837444305,0.35223967134952544,1.522337555885315,1.4297553420066833,1.6454104423522948
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,100,0.28227455652086064,0.2861821576952934,0.2073767215013504,1.181875514984131,0.2749885767698288,0.24791233241558075,0.331007194519043,1.5183184742927551,1.4555671691894532,1.6135993957519532
mixture,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0.013475696032401174,0.30588869750499725,0.2000483751296997,1.287306022644043,0.16341207921504974,0.13112528771162033,0.24347934126853943,1.294781744480133,1.2062799453735351,1.465952718257904
mixture,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0.027432220056653023,0.2707194536924362,0.1928234726190567,1.1737964510917664,0.2416524514555931,0.19904154241085054,0.29838265776634215,1.452406406402588,1.3628742456436158,1.5626448035240172
mixture,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0.05570149148115888,0.2841811180114746,0.1997600555419922,1.2254924654960633,0.2768237888813019,0.23830880373716354,0.3587472558021545,1.5082541108131409,1.434946596622467,1.647152054309845
