training_scheme,sigma_m,diffusion_time,relative_score_rmse_median,relative_score_rmse_lo,relative_score_rmse_hi,scaled_score_rmse_median,scaled_score_rmse_lo,scaled_score_rmse_hi
uniform,0.06476614624261856,0.004170452244579792,0.7777224779129028,0.6855089485645294,0.8713991105556488,0.1915368139743805,0.1620749369263649,0.20598870515823364
uniform,0.07474089413881302,0.005543392617255449,0.6007032692432404,0.5414001166820526,0.661863136291504,0.15783865749835968,0.14278228729963302,0.17684760838747024
uniform,0.08625186234712601,0.007363683078438044,0.4670994430780411,0.40621987283229827,0.5188397943973542,0.13725556433200836,0.12042059302330017,0.15325906723737717
uniform,0.09953565895557404,0.009773730300366879,0.3416323661804199,0.2600478321313858,0.39106535017490385,0.11237553879618645,0.08923614621162415,0.12833065539598465
uniform,0.11486529558897018,0.012958434410393238,0.22606975585222244,0.1746448814868927,0.3503811299800873,0.08980007097125053,0.0704995945096016,0.13531419187784194
uniform,0.13255588710308075,0.017156483605504036,0.16572381556034088,0.13206866085529329,0.34094085395336154,0.06635312363505363,0.05685963220894337,0.15171296298503875
uniform,0.1529710441827774,0.02267235703766346,0.1540980413556099,0.10870329141616822,0.34802454710006714,0.07190363854169846,0.05181179195642471,0.1635650247335434
uniform,0.17653034627437592,0.029889527708292007,0.16966235637664795,0.13388154953718184,0.3491974085569382,0.08897131681442261,0.06436131671071052,0.18670690208673477
uniform,0.20371808111667633,0.03928206115961075,0.2023058608174324,0.15945759415626526,0.36790281236171724,0.11337688565254211,0.09904608130455017,0.19353850185871124
uniform,0.23509304225444794,0.05142240226268768,0.2212015688419342,0.1866166576743126,0.3660645991563797,0.14079250395298004,0.11876087188720703,0.22006314843893052
uniform,0.2713001072406769,0.06698070466518402,0.2498847022652626,0.21426098197698593,0.37728321850299834,0.16806916147470474,0.14228153228759766,0.26984795928001404
uniform,0.3130834996700287,0.08671019226312637,0.25979161262512207,0.2276533365249634,0.37919939756393434,0.1805061474442482,0.15444543212652206,0.282458171248436
uniform,0.361301988363266,0.11141348630189896,0.27133411169052124,0.24376889914274216,0.39121620655059813,0.2044970765709877,0.18473084419965743,0.29545043408870697
uniform,0.4169467091560364,0.14188621938228607,0.27351266145706177,0.25326659381389616,0.4095777809619904,0.22669772058725357,0.20521598160266877,0.34072152376174925
uniform,0.4811613857746124,0.17884142696857452,0.28954121470451355,0.2621972858905792,0.4435251921415329,0.23314519226551056,0.22112349718809127,0.35538299679756163
uniform,0.5552658438682556,0.22282467782497406,0.2871376872062683,0.26003638505935667,0.4727903187274933,0.24898897856473923,0.22443486303091048,0.3914611876010895
uniform,0.6407832503318787,0.2741386294364929,0.29821328818798065,0.26655166447162626,0.4701377034187317,0.26633118093013763,0.23727709501981736,0.4351403176784515
uniform,0.7394713163375854,0.33279743790626526,0.2966533750295639,0.26278641521930696,0.5123554050922394,0.2620062977075577,0.2400580421090126,0.47801638543605807
uniform,0.8533585071563721,0.3985244333744049,0.3084366172552109,0.25281972289085386,0.5197965443134308,0.2748878747224808,0.22414581775665282,0.48909900784492494
uniform,0.9847856760025024,0.4707942008972168,0.2898208200931549,0.24188379645347596,0.56738201379776,0.26952390372753143,0.21389377862215042,0.5331651389598846
uniform,1.1364541053771973,0.5489058494567871,0.27582111954689026,0.22722278982400895,0.530160254240036,0.2695831134915352,0.20984804779291152,0.5380047678947448
uniform,1.3114813566207886,0.6320682168006897,0.2570994570851326,0.2056051790714264,0.5515635669231415,0.25433140248060226,0.1997128576040268,0.5209234535694123
uniform,1.5134648084640503,0.7194765210151672,0.2523726373910904,0.1965014785528183,0.5153837621212005,0.2414911463856697,0.18791661709547042,0.5106464385986328
uniform,1.7465559244155884,0.8103709816932678,0.23571216315031052,0.17090708166360855,0.505097109079361,0.23684709519147873,0.16639854162931442,0.49336565732955934
uniform,2.0155458450317383,0.9040728211402893,0.2235151007771492,0.14891002625226973,0.4722074091434479,0.21444259583950043,0.14177627712488175,0.4751453220844269
uniform,2.3259634971618652,1.0,0.21123820543289185,0.12887223809957504,0.44959612786769865,0.2059110477566719,0.12159275785088539,0.45513107180595397
