training_scheme,variant,variant_label,family,timesteps,model_seed,observation,repeat,runtime_s,runtime_per_sample_ms,runtime_device,mean_error,covariance_error,posterior_width_ratio
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,100,0,1,0,0.3180203200317919,0.4240270933757226,cuda,0.3154788911342621,0.17775844037532806,1.3803974390029907
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,100,0,1,1,0.3002441070275381,0.4003254760367175,cuda,0.3120304346084595,0.22124966979026794,1.4384437799453735
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0,1,0,0.01513328100554645,0.020177708007395267,cuda,0.3943876028060913,0.10742367058992386,1.2523778676986694
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0,1,1,0.013634693925268948,0.0181795919003586,cuda,0.3958187699317932,0.1195756271481514,1.2819026708602905
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0,1,0,0.027357331942766905,0.03647644259035587,cuda,0.3524789810180664,0.16989736258983612,1.3595885038375854
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0,1,1,0.028241420979611576,0.03765522797281543,cuda,0.3396325409412384,0.1427675485610962,1.3093249797821045
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0,1,0,0.05686184798832983,0.0758157973177731,cuda,0.29974985122680664,0.24798505008220673,1.4811618328094482
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0,1,1,0.05568654905073345,0.0742487320676446,cuda,0.3221076726913452,0.21250398457050323,1.4223551750183105
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0,1,0,0.1400237058987841,0.18669827453171214,cuda,0.31713101267814636,0.22695647180080414,1.4516019821166992
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0,1,1,0.13976066396571696,0.1863475519542893,cuda,0.32186806201934814,0.22366459667682648,1.4503357410430908
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,100,0,1,0,0.28102809202391654,0.3747041226985554,cuda,0.3208838701248169,0.17835482954978943,1.3841643333435059
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,100,0,1,1,0.28026382997632027,0.3736851066350937,cuda,0.3171989619731903,0.22154392302036285,1.4416897296905518
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,5,0,1,0,0.09594457899220288,0.12792610532293716,cuda,0.16821466386318207,0.29340797662734985,1.566090703010559
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,5,0,1,1,0.09818989597260952,0.13091986129681268,cuda,0.15595336258411407,0.20644818246364594,1.4528249502182007
