training_scheme,model_seed,observation,sigma_m,diffusion_time,relative_score_rmse,scaled_score_rmse
uniform,1,3,0.7394713163375854,0.33279743790626526,0.5324230790138245,0.49673911929130554
uniform,1,3,0.8533585071563721,0.3985244333744049,0.526052713394165,0.4949856996536255
uniform,1,3,0.9847856760025024,0.4707942008972168,0.5683684349060059,0.5340920686721802
uniform,1,3,1.1364541053771973,0.5489058494567871,0.5308890342712402,0.538744330406189
uniform,1,3,1.3114813566207886,0.6320682168006897,0.5524296164512634,0.5217413902282715
uniform,1,3,1.5134648084640503,0.7194765210151672,0.5179424285888672,0.5131816267967224
uniform,1,3,1.7465559244155884,0.8103709816932678,0.5124213695526123,0.5005198121070862
uniform,1,3,2.0155458450317383,0.9040728211402893,0.4843461811542511,0.4873596131801605
uniform,1,3,2.3259634971618652,1.0,0.46309059858322144,0.468791663646698
uniform,2,0,0.031644415110349655,0.000999981421045959,2.463369131088257,0.28538498282432556
uniform,2,0,0.036518022418022156,0.0013310941867530346,2.0226452350616455,0.2832471430301666
uniform,2,0,0.04214222729206085,0.0017716207075864077,1.6485998630523682,0.2526659071445465
uniform,2,0,0.04863262176513672,0.0023574272636324167,1.362646460533142,0.24280066788196564
uniform,2,0,0.056122612208127975,0.003136059734970331,1.0354177951812744,0.20931416749954224
uniform,2,0,0.06476614624261856,0.004170452244579792,0.782741367816925,0.19634386897087097
uniform,2,0,0.07474089413881302,0.005543392617255449,0.6044152975082397,0.15806610882282257
uniform,2,0,0.08625186234712601,0.007363683078438044,0.4346531927585602,0.13656491041183472
uniform,2,0,0.09953565895557404,0.009773730300366879,0.29175618290901184,0.09816233068704605
uniform,2,0,0.11486529558897018,0.012958434410393238,0.16848918795585632,0.07004497945308685
uniform,2,0,0.13255588710308075,0.017156483605504036,0.11899331957101822,0.05154705047607422
uniform,2,0,0.1529710441827774,0.02267235703766346,0.09259866178035736,0.04388102516531944
uniform,2,0,0.17653034627437592,0.029889527708292007,0.12148815393447876,0.057929664850234985
uniform,2,0,0.20371808111667633,0.03928206115961075,0.15911225974559784,0.09883157908916473
uniform,2,0,0.23509304225444794,0.05142240226268768,0.18209843337535858,0.11836061626672745
uniform,2,0,0.2713001072406769,0.06698070466518402,0.21564823389053345,0.1432027369737625
uniform,2,0,0.3130834996700287,0.08671019226312637,0.2315344661474228,0.15707848966121674
uniform,2,0,0.361301988363266,0.11141348630189896,0.2458319067955017,0.1879047155380249
uniform,2,0,0.4169467091560364,0.14188621938228607,0.25485169887542725,0.20517152547836304
uniform,2,0,0.4811613857746124,0.17884142696857452,0.27724140882492065,0.2300225794315338
uniform,2,0,0.5552658438682556,0.22282467782497406,0.2593974769115448,0.22392538189888
uniform,2,0,0.6407832503318787,0.2741386294364929,0.2659335732460022,0.2378060668706894
uniform,2,0,0.7394713163375854,0.33279743790626526,0.2626687288284302,0.2470746785402298
uniform,2,0,0.8533585071563721,0.3985244333744049,0.2684793174266815,0.23964418470859528
uniform,2,0,0.9847856760025024,0.4707942008972168,0.24297109246253967,0.21132557094097137
uniform,2,0,1.1364541053771973,0.5489058494567871,0.2264329493045807,0.20777525007724762
uniform,2,0,1.3114813566207886,0.6320682168006897,0.22048461437225342,0.2167234718799591
uniform,2,0,1.5134648084640503,0.7194765210151672,0.21008610725402832,0.2059815376996994
uniform,2,0,1.7465559244155884,0.8103709816932678,0.19624285399913788,0.19826872646808624
uniform,2,0,2.0155458450317383,0.9040728211402893,0.1790231615304947,0.17060503363609314
uniform,2,0,2.3259634971618652,1.0,0.1627122461795807,0.15358015894889832
uniform,2,1,0.031644415110349655,0.000999981421045959,2.3371665477752686,0.27840617299079895
uniform,2,1,0.036518022418022156,0.0013310941867530346,1.941721796989441,0.2457159012556076
uniform,2,1,0.04214222729206085,0.0017716207075864077,1.4799354076385498,0.24201087653636932
uniform,2,1,0.04863262176513672,0.0023574272636324167,1.231884241104126,0.20572063326835632
uniform,2,1,0.056122612208127975,0.003136059734970331,0.9530330896377563,0.19451996684074402
uniform,2,1,0.06476614624261856,0.004170452244579792,0.7089550495147705,0.16415350139141083
uniform,2,1,0.07474089413881302,0.005543392617255449,0.5360678434371948,0.14181064069271088
uniform,2,1,0.08625186234712601,0.007363683078438044,0.38129034638404846,0.11284268647432327
uniform,2,1,0.09953565895557404,0.009773730300366879,0.25006619095802307,0.08601894974708557
uniform,2,1,0.11486529558897018,0.012958434410393238,0.18645338714122772,0.07032637298107147
uniform,2,1,0.13255588710308075,0.017156483605504036,0.1360948234796524,0.05855248123407364
uniform,2,1,0.1529710441827774,0.02267235703766346,0.14230751991271973,0.07062088698148727
uniform,2,1,0.17653034627437592,0.029889527708292007,0.17338961362838745,0.0909259021282196
uniform,2,1,0.20371808111667633,0.03928206115961075,0.2102891057729721,0.11747833341360092
uniform,2,1,0.23509304225444794,0.05142240226268768,0.2338351607322693,0.14564000070095062
uniform,2,1,0.2713001072406769,0.06698070466518402,0.2575358748435974,0.17545290291309357
uniform,2,1,0.3130834996700287,0.08671019226312637,0.27042534947395325,0.19239945709705353
uniform,2,1,0.361301988363266,0.11141348630189896,0.2821997106075287,0.20967690646648407
uniform,2,1,0.4169467091560364,0.14188621938228607,0.2764831483364105,0.2297058254480362
uniform,2,1,0.4811613857746124,0.17884142696857452,0.2891416847705841,0.22106240689754486
uniform,2,1,0.5552658438682556,0.22282467782497406,0.28688108921051025,0.24922151863574982
uniform,2,1,0.6407832503318787,0.2741386294364929,0.30171999335289,0.2691265642642975
uniform,2,1,0.7394713163375854,0.33279743790626526,0.30266425013542175,0.2582330107688904
uniform,2,1,0.8533585071563721,0.3985244333744049,0.31407561898231506,0.2794991433620453
uniform,2,1,0.9847856760025024,0.4707942008972168,0.30554166436195374,0.2825797200202942
uniform,2,1,1.1364541053771973,0.5489058494567871,0.301495224237442,0.29542121291160583
uniform,2,1,1.3114813566207886,0.6320682168006897,0.28302454948425293,0.28155824542045593
uniform,2,1,1.5134648084640503,0.7194765210151672,0.2971641421318054,0.2785698175430298
