correction,inference_time_grid,label,mean_error_sigma,method,n_observations,repeat,runtime_seconds,sample_mean,sample_std,std_ratio,training_time_sampling,variant
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.025773493573069572,dpm,1,1,1.4072227210272104,-0.18986161053180695,0.7610130906105042,1.076235055923462,log_sigma,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.06432340294122696,dpm,1,1,1.4101567530306056,-0.16260270774364471,0.7685999870300293,1.08696448802948,log_sigma,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.05060159042477608,langevin,1,1,3.3186764440033585,-0.17230549454689026,0.7866183519363403,1.1124463081359863,log_sigma,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.03836008161306381,langevin,1,1,3.311176700051874,-0.18096154928207397,0.7708830833435059,1.090193271636963,log_sigma,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.01236063800752163,langevin,1,1,3.1846418909262866,-0.1993459314107895,0.7543210983276367,1.066771149635315,log_sigma,langevin_fnpe_log_sigma
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.04679457098245621,langevin,1,1,3.1764129659859464,-0.1749974638223648,0.8050289750099182,1.138482928276062,log_sigma,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.02877340093255043,dpm,1,1,1.4028218620223925,-0.18774035573005676,0.7455435395240784,1.0543577671051025,mixture,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.017124202102422714,dpm,1,1,1.4085765311028808,-0.195977583527565,0.7511315941810608,1.0622605085372925,mixture,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.021098986268043518,langevin,1,1,3.2937286180676892,-0.19316698610782623,0.7331122756004333,1.036777377128601,mixture,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.01828494668006897,langevin,1,1,3.303997840033844,-0.19515681266784668,0.750364363193512,1.0611754655838013,mixture,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.011864064261317253,langevin,1,1,3.18385772802867,-0.19969706237316132,0.6817680597305298,0.9641656279563904,mixture,langevin_fnpe_log_sigma
