correction,label,mean_error_sigma,method,n_observations,repeat,runtime_seconds,sample_mean,sample_std,std_ratio,theta_true,truth_mean,truth_std,variant
gauss,Langevin + Gaussian,0.006522657349705696,langevin,10,0,20.8214918570593,0.3004527986049652,0.33509939908981323,1.1113989353179932,-0.1467950940132141,0.3024194457314231,0.30151134457776363,langevin_gauss
uncorrected,Langevin + uncorrected,0.22284670174121857,langevin,10,0,20.755524519947357,0.23522864282131195,0.23655004799365997,0.784547746181488,-0.1467950940132141,0.3024194457314231,0.30151134457776363,langevin_raw
fnpe,Langevin + F-NPSE,0.060538049787282944,langevin,10,0,20.6899077789858,0.284166544675827,0.34995898604393005,1.1606826782226562,-0.1467950940132141,0.3024194457314231,0.30151134457776363,langevin_fnpe
gauss,DPM-2 + Gaussian,0.2728933095932007,dpm,25,0,21.93602992699016,-0.0056291548535227776,0.28251010179519653,1.4405245780944824,-0.1467950940132141,0.04788962235817543,0.19611613513818404,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.2750798165798187,dpm,25,0,22.138453430961818,-0.006057968363165855,0.2824995219707489,1.440470576286316,-0.1467950940132141,0.04788962235817543,0.19611613513818404,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.22321149706840515,dpm,25,0,21.87497797200922,0.004114249255508184,0.13021281361579895,0.6639576554298401,-0.1467950940132141,0.04788962235817543,0.19611613513818404,dpm_raw
gauss,Langevin + Gaussian,0.2953886389732361,langevin,25,0,50.410541867953725,-0.010040853172540665,0.28255248069763184,1.4407405853271484,-0.1467950940132141,0.04788962235817543,0.19611613513818404,langevin_gauss
uncorrected,Langevin + uncorrected,0.24378345906734467,langevin,25,0,50.423428944079205,7.975526386871934e-05,0.12771710753440857,0.6512320041656494,-0.1467950940132141,0.04788962235817543,0.19611613513818404,langevin_raw
fnpe,Langevin + F-NPSE,0.11171754449605942,langevin,25,0,50.421040832065046,0.025980010628700256,0.22977912425994873,1.1716482639312744,-0.1467950940132141,0.04788962235817543,0.19611613513818404,langevin_fnpe
gauss,DPM-2 + Gaussian,0.9249575734138489,dpm,50,0,42.960956747992896,-0.2695785462856293,0.2139110565185547,1.5276304483413696,-0.1467950940132141,-0.1400585829042921,0.14002800840280097,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.9891884922981262,dpm,50,0,43.27268590906169,-0.278572678565979,0.2154613584280014,1.5387017726898193,-0.1467950940132141,-0.1400585829042921,0.14002800840280097,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.002393924631178379,dpm,50,0,42.800606491044164,-0.14039379358291626,0.08111771196126938,0.5792962908744812,-0.1467950940132141,-0.1400585829042921,0.14002800840280097,dpm_raw
gauss,Langevin + Gaussian,0.9867056012153625,langevin,50,0,98.79410356900189,-0.27822500467300415,0.22402766346931458,1.5998774766921997,-0.1467950940132141,-0.1400585829042921,0.14002800840280097,langevin_gauss
uncorrected,Langevin + uncorrected,0.14886245131492615,langevin,50,0,98.53043902292848,-0.11921366304159164,0.082968570291996,0.5925140976905823,-0.1467950940132141,-0.1400585829042921,0.14002800840280097,langevin_raw
fnpe,Langevin + F-NPSE,0.2313353270292282,langevin,50,0,98.50609388598241,-0.17245200276374817,0.169941708445549,1.213626503944397,-0.1467950940132141,-0.1400585829042921,0.14002800840280097,langevin_fnpe
gauss,DPM-2 + Gaussian,0.024964390322566032,dpm,1,1,1.4716498230118304,-0.09673880785703659,0.7461249232292175,1.0551799535751343,0.334337055683136,-0.0790863186120987,0.7071067811865476,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.004151127301156521,dpm,1,1,1.628905775025487,-0.08202160894870758,0.7489107847213745,1.0591198205947876,0.334337055683136,-0.0790863186120987,0.7071067811865476,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.010602008551359177,dpm,1,1,1.4174321310129017,-0.08658307045698166,0.7484021186828613,1.0584003925323486,0.334337055683136,-0.0790863186120987,0.7071067811865476,dpm_raw
gauss,Langevin + Gaussian,0.04414191097021103,langevin,1,1,3.3367884210310876,-0.11029936373233795,0.761776864528656,1.0773152112960815,0.334337055683136,-0.0790863186120987,0.7071067811865476,langevin_gauss
uncorrected,Langevin + uncorrected,0.005864565260708332,langevin,1,1,3.1996066010324284,-0.08323319256305695,0.7461917400360107,1.055274486541748,0.334337055683136,-0.0790863186120987,0.7071067811865476,langevin_raw
fnpe,Langevin + F-NPSE,0.03292114660143852,langevin,1,1,3.177841975935735,-0.10236508399248123,0.7548731565475464,1.067551851272583,0.334337055683136,-0.0790863186120987,0.7071067811865476,langevin_fnpe
gauss,DPM-2 + Gaussian,0.00462334556505084,dpm,2,1,2.2672692720079795,-0.17908084392547607,0.610468864440918,1.0573631525039673,0.334337055683136,-0.18175013860066733,0.5773502691896257,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.026167934760451317,dpm,2,1,2.3522305210353807,-0.19685819745063782,0.6042524576187134,1.0465959310531616,0.334337055683136,-0.18175013860066733,0.5773502691896257,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.06789057701826096,dpm,2,1,2.1189782440196723,-0.2209467738866806,0.5897476077079773,1.0214728116989136,0.334337055683136,-0.18175013860066733,0.5773502691896257,dpm_raw
gauss,Langevin + Gaussian,0.005723865702748299,langevin,2,1,5.129278236068785,-0.18505480885505676,0.6135218143463135,1.0626509189605713,0.334337055683136,-0.18175013860066733,0.5773502691896257,langevin_gauss
uncorrected,Langevin + uncorrected,0.1156509518623352,langevin,2,1,4.996085353894159,-0.24852123856544495,0.631118655204773,1.0931296348571777,0.334337055683136,-0.18175013860066733,0.5773502691896257,langevin_raw
fnpe,Langevin + F-NPSE,0.014995642937719822,langevin,2,1,5.016610919032246,-0.1904078722000122,0.6456600427627563,1.1183160543441772,0.334337055683136,-0.18175013860066733,0.5773502691896257,langevin_fnpe
gauss,DPM-2 + Gaussian,0.015036136843264103,dpm,5,1,4.793458360945806,-0.057503972202539444,0.42423078417778015,1.0391489267349243,0.334337055683136,-0.05136549472808838,0.408248290463863,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.05539853125810623,dpm,5,1,4.937824815046042,-0.07398185133934021,0.427274227142334,1.046603798866272,0.334337055683136,-0.05136549472808838,0.408248290463863,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.09170407801866531,dpm,5,1,4.78116247698199,-0.08880352973937988,0.39353668689727783,0.96396404504776,0.334337055683136,-0.05136549472808838,0.408248290463863,dpm_raw
gauss,Langevin + Gaussian,0.03650197386741638,langevin,5,1,11.109518983052112,-0.06626736372709274,0.4393501281738281,1.076183557510376,0.334337055683136,-0.05136549472808838,0.408248290463863,langevin_gauss
uncorrected,Langevin + uncorrected,0.16615647077560425,langevin,5,1,10.86188521294389,-0.11919859051704407,0.3981187045574188,0.9751876592636108,0.334337055683136,-0.05136549472808838,0.408248290463863,langevin_raw
fnpe,Langevin + F-NPSE,0.10155554860830307,langevin,5,1,10.81922345701605,-0.09282537549734116,0.47872617840766907,1.1726348400115967,0.334337055683136,-0.05136549472808838,0.408248290463863,langevin_fnpe
gauss,DPM-2 + Gaussian,0.057986266911029816,dpm,10,1,9.025464777019806,0.10127343982458115,0.3394874334335327,1.1259524822235107,0.334337055683136,0.11875695532018488,0.30151134457776363,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.03749695420265198,dpm,10,1,9.125063827028498,0.10745120048522949,0.3341306746006012,1.10818612575531,0.334337055683136,0.11875695532018488,0.30151134457776363,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.0990067571401596,dpm,10,1,8.956273296964355,0.08890529721975327,0.2634722590446472,0.8738386034965515,0.334337055683136,0.11875695532018488,0.30151134457776363,dpm_raw
gauss,Langevin + Gaussian,0.02405206486582756,langevin,10,1,20.938734777038917,0.11150498688220978,0.3433385193347931,1.1387250423431396,0.334337055683136,0.11875695532018488,0.30151134457776363,langevin_gauss
uncorrected,Langevin + uncorrected,0.1834845393896103,langevin,10,1,20.65998645394575,0.06343428790569305,0.2475842386484146,0.8211440443992615,0.334337055683136,0.11875695532018488,0.30151134457776363,langevin_raw
fnpe,Langevin + F-NPSE,0.07662217319011688,langevin,10,1,20.707494002999738,0.09565450251102448,0.3500153422355652,1.1608695983886719,0.334337055683136,0.11875695532018488,0.30151134457776363,langevin_fnpe
gauss,DPM-2 + Gaussian,0.07201121002435684,dpm,25,1,21.924324699910358,0.1875118762254715,0.282502681016922,1.4404866695404053,0.334337055683136,0.20163444372323844,0.19611613513818404,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.05979600176215172,dpm,25,1,21.947794961975887,0.1899074763059616,0.2720212936401367,1.3870419263839722,0.334337055683136,0.20163444372323844,0.19611613513818404,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.24536782503128052,dpm,25,1,21.723363272030838,0.1535138487815857,0.13031905889511108,0.6644994020462036,0.334337055683136,0.20163444372323844,0.19611613513818404,dpm_raw
gauss,Langevin + Gaussian,0.05925098806619644,langevin,25,1,50.27699317794759,0.19001436233520508,0.27867236733436584,1.4209558963775635,0.334337055683136,0.20163444372323844,0.19611613513818404,langevin_gauss
uncorrected,Langevin + uncorrected,0.4006231427192688,langevin,25,1,50.08758409204893,0.1230657771229744,0.1277303844690323,0.6512997150421143,0.334337055683136,0.20163444372323844,0.19611613513818404,langevin_raw
fnpe,Langevin + F-NPSE,0.08024067431688309,langevin,25,1,50.34257488499861,0.18589794635772705,0.22762300074100494,1.160654067993164,0.334337055683136,0.20163444372323844,0.19611613513818404,langevin_fnpe
gauss,DPM-2 + Gaussian,0.021771561354398727,dpm,50,1,42.84877951804083,0.29598385095596313,0.19759686291217804,1.4111237525939941,0.334337055683136,0.29293522180295456,0.14002800840280097,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.05433940887451172,dpm,50,1,42.944079927983694,0.30054426193237305,0.19378437101840973,1.3838971853256226,0.334337055683136,0.29293522180295456,0.14002800840280097,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.711758017539978,dpm,50,1,42.652137501048855,0.19326916337013245,0.07896780222654343,0.5639429092407227,0.334337055683136,0.29293522180295456,0.14002800840280097,dpm_raw
gauss,Langevin + Gaussian,0.04431186988949776,langevin,50,1,98.5911810399266,0.2991401255130768,0.20487402379512787,1.4630931615829468,0.334337055683136,0.29293522180295456,0.14002800840280097,langevin_gauss
uncorrected,Langevin + uncorrected,0.7944512963294983,langevin,50,1,98.27976776100695,0.1816897839307785,0.0805993303656578,0.5755943059921265,0.334337055683136,0.29293522180295456,0.14002800840280097,langevin_raw
fnpe,Langevin + F-NPSE,0.10763083398342133,langevin,50,1,98.06702903402038,0.27786388993263245,0.15948326885700226,1.138938307762146,0.334337055683136,0.29293522180295456,0.14002800840280097,langevin_fnpe
gauss,DPM-2 + Gaussian,0.13954231142997742,dpm,1,2,1.4102773249614984,0.5374030470848083,0.7439602613449097,1.0521186590194702,1.2412772178649902,0.6360743641853333,0.7071067811865476,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.12053341418504715,dpm,1,2,1.5031347289914265,0.5508443713188171,0.749787449836731,1.0603595972061157,1.2412772178649902,0.6360743641853333,0.7071067811865476,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.13311459124088287,dpm,1,2,1.3526548721129075,0.541948139667511,0.7255125641822815,1.0260297060012817,1.2412772178649902,0.6360743641853333,0.7071067811865476,dpm_raw
gauss,Langevin + Gaussian,0.13253355026245117,langevin,1,2,3.315518778981641,0.5423589944839478,0.7683590054512024,1.0866237878799438,1.2412772178649902,0.6360743641853333,0.7071067811865476,langevin_gauss
uncorrected,Langevin + uncorrected,0.09328968822956085,langevin,1,2,3.1991780468961224,0.5701085925102234,0.7349427938461304,1.0393661260604858,1.2412772178649902,0.6360743641853333,0.7071067811865476,langevin_raw
fnpe,Langevin + F-NPSE,0.08785350620746613,langevin,1,2,3.1919306330382824,0.5739525556564331,0.7450782060623169,1.0536997318267822,1.2412772178649902,0.6360743641853333,0.7071067811865476,langevin_fnpe
gauss,DPM-2 + Gaussian,0.08750290423631668,dpm,2,2,2.182090794085525,0.8284956216812134,0.6153525114059448,1.065821886062622,1.2412772178649902,0.8790154457092285,0.5773502691896257,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.12378837168216705,dpm,2,2,2.341676070005633,0.8075461983680725,0.5999724268913269,1.0391827821731567,1.2412772178649902,0.8790154457092285,0.5773502691896257,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.02264345809817314,dpm,2,2,2.155355722992681,0.8659422397613525,0.581756591796875,1.0076320171356201,1.2412772178649902,0.8790154457092285,0.5773502691896257,dpm_raw
gauss,Langevin + Gaussian,0.0892578512430191,langevin,2,2,5.231042915955186,0.8274824023246765,0.6133809089660645,1.0624068975448608,1.2412772178649902,0.8790154457092285,0.5773502691896257,langevin_gauss
uncorrected,Langevin + uncorrected,0.0902201384305954,langevin,2,2,5.077625010977499,0.8269268274307251,0.5746369957923889,0.9953004717826843,1.2412772178649902,0.8790154457092285,0.5773502691896257,langevin_raw
fnpe,Langevin + F-NPSE,0.06341266632080078,langevin,2,2,5.052494224044494,0.8424041271209717,0.6049672961235046,1.0478341579437256,1.2412772178649902,0.8790154457092285,0.5773502691896257,langevin_fnpe
gauss,DPM-2 + Gaussian,0.06747682392597198,dpm,5,2,4.716663616010919,0.9032242894172668,0.4147232174873352,1.0158601999282837,1.2412772178649902,0.9307715892791748,0.408248290463863,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.05173850804567337,dpm,5,2,4.837093479000032,0.9096494317054749,0.4093952476978302,1.0028094053268433,1.2412772178649902,0.9307715892791748,0.408248290463863,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.0970420241355896,dpm,5,2,4.67244692298118,0.9703888297080994,0.35163623094558716,0.8613293170928955,1.2412772178649902,0.9307715892791748,0.408248290463863,dpm_raw
gauss,Langevin + Gaussian,0.030789850279688835,langevin,5,2,11.056353330030106,0.9182016849517822,0.41295126080513,1.0115197896957397,1.2412772178649902,0.9307715892791748,0.408248290463863,langevin_gauss
uncorrected,Langevin + uncorrected,0.20282556116580963,langevin,5,2,11.104464355972596,0.8479683995246887,0.35725459456443787,0.8750914335250854,1.2412772178649902,0.9307715892791748,0.408248290463863,langevin_raw
fnpe,Langevin + F-NPSE,0.07251356542110443,langevin,5,2,11.11722193902824,0.9011680483818054,0.43897151947021484,1.0752562284469604,1.2412772178649902,0.9307715892791748,0.408248290463863,langevin_fnpe
gauss,DPM-2 + Gaussian,0.06696581840515137,dpm,10,2,9.141369891003706,0.9944882988929749,0.3232864737510681,1.072219967842102,1.2412772178649902,0.974297350103205,0.30151134457776363,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.12060145288705826,dpm,10,2,9.24292026204057,1.0106600522994995,0.3233892619609833,1.0725607872009277,1.2412772178649902,0.974297350103205,0.30151134457776363,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.1066175252199173,dpm,10,2,9.045007331995293,0.9421509504318237,0.23004427552223206,0.7629705667495728,1.2412772178649902,0.974297350103205,0.30151134457776363,dpm_raw
gauss,Langevin + Gaussian,0.09203539788722992,langevin,10,2,21.01689737907145,1.002047061920166,0.3257596790790558,1.0804226398468018,1.2412772178649902,0.974297350103205,0.30151134457776363,langevin_gauss
uncorrected,Langevin + uncorrected,0.5670151710510254,langevin,10,2,20.864143876940943,0.8033358454704285,0.2143552005290985,0.7109357714653015,1.2412772178649902,0.974297350103205,0.30151134457776363,langevin_raw
fnpe,Langevin + F-NPSE,0.09825203567743301,langevin,10,2,20.792020947905257,0.9446732401847839,0.3297429382801056,1.0936336517333984,1.2412772178649902,0.974297350103205,0.30151134457776363,langevin_fnpe
gauss,DPM-2 + Gaussian,0.9674420952796936,dpm,25,2,21.891090463032015,1.4477330446243286,0.2495046705007553,1.2722291946411133,1.2412772178649902,1.2580020611102765,0.19611613513818404,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.964270293712616,dpm,25,2,21.999940230045468,1.4471110105514526,0.24782608449459076,1.2636700868606567,1.2412772178649902,1.2580020611102765,0.19611613513818404,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,1.1841729879379272,dpm,25,2,21.792574750026688,1.0257666110992432,0.11096727102994919,0.5658242702484131,1.2412772178649902,1.2580020611102765,0.19611613513818404,dpm_raw
gauss,Langevin + Gaussian,0.9805880784988403,langevin,25,2,50.43704824196175,1.4503111839294434,0.2485354244709015,1.267287015914917,1.2412772178649902,1.2580020611102765,0.19611613513818404,langevin_gauss
uncorrected,Langevin + uncorrected,1.9580951929092407,langevin,25,2,50.09135756199248,0.8739879727363586,0.11804917454719543,0.6019350290298462,1.2412772178649902,1.2580020611102765,0.19611613513818404,langevin_raw
fnpe,Langevin + F-NPSE,0.10979846864938736,langevin,25,2,50.062259427970275,1.23646879196167,0.21636970341205597,1.1032733917236328,1.2412772178649902,1.2580020611102765,0.19611613513818404,langevin_fnpe
gauss,DPM-2 + Gaussian,0.8667275905609131,dpm,50,2,42.88602599897422,1.3659065961837769,0.1650080382823944,1.178393006324768,1.2412772178649902,1.2445404202330346,0.14002800840280097,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.8247615694999695,dpm,50,2,42.94524605397601,1.360030174255371,0.1648331731557846,1.1771442890167236,1.2412772178649902,1.2445404202330346,0.14002800840280097,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,2.8630857467651367,dpm,50,2,42.768027638900094,0.8436282277107239,0.07119276374578476,0.5084180235862732,1.2412772178649902,1.2445404202330346,0.14002800840280097,dpm_raw
gauss,Langevin + Gaussian,0.9614604115486145,langevin,50,2,98.50412599695846,1.3791718482971191,0.16664133965969086,1.1900571584701538,1.2412772178649902,1.2445404202330346,0.14002800840280097,langevin_gauss
uncorrected,Langevin + uncorrected,3.2485311031341553,langevin,50,2,98.3506741579622,0.7896550893783569,0.07665824890136719,0.5474493503570557,1.2412772178649902,1.2445404202330346,0.14002800840280097,langevin_raw
fnpe,Langevin + F-NPSE,0.22802047431468964,langevin,50,2,98.43869204504881,1.212611198425293,0.15140104293823242,1.0812196731567383,1.2412772178649902,1.2445404202330346,0.14002800840280097,langevin_fnpe
