correction,label,mean_error_sigma,method,n_observations,repeat,runtime_seconds,sample_mean,sample_std,std_ratio,theta_true,truth_mean,truth_std,variant
gauss_full,DPM-2 + full Gaussian,0.22466379404067993,dpm,10,0,9.115361433010548,0.3701581358909607,0.41098904609680176,1.3630964756011963,-0.1467950940132141,0.3024194457314231,0.30151134457776363,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.13971662521362305,dpm,10,0,9.066815769998357,0.26029330492019653,0.1988757848739624,0.65959632396698,-0.1467950940132141,0.3024194457314231,0.30151134457776363,dpm_raw
gauss,Langevin + Gaussian,0.19586654007434845,langevin,10,0,21.050618253007997,0.3614754378795624,0.4194309711456299,1.3910951614379883,-0.1467950940132141,0.3024194457314231,0.30151134457776363,langevin_gauss
uncorrected,Langevin + uncorrected,0.4239574670791626,langevin,10,0,20.77935358695686,0.17459146678447723,0.16853468120098114,0.5589662790298462,-0.1467950940132141,0.3024194457314231,0.30151134457776363,langevin_raw
fnpe,Langevin + F-NPSE,0.05301233381032944,langevin,10,0,20.849659897969104,0.28643563389778137,0.3348850905895233,1.1106882095336914,-0.1467950940132141,0.3024194457314231,0.30151134457776363,langevin_fnpe
gauss,DPM-2 + Gaussian,0.23084110021591187,dpm,25,0,22.219255961012095,0.00261795986443758,0.2804460823535919,1.4300000667572021,-0.1467950940132141,0.04788962235817543,0.19611613513818404,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.23251542448997498,dpm,25,0,22.224727931024972,0.0022895976435393095,0.28057172894477844,1.430640697479248,-0.1467950940132141,0.04788962235817543,0.19611613513818404,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.35851994156837463,dpm,25,0,22.044561652990524,-0.022421926259994507,0.09043026715517044,0.46110570430755615,-0.1467950940132141,0.04788962235817543,0.19611613513818404,dpm_raw
gauss,Langevin + Gaussian,0.2593178451061249,langevin,25,0,50.99877018301049,-0.0029667874332517385,0.2841002345085144,1.4486325979232788,-0.1467950940132141,0.04788962235817543,0.19611613513818404,langevin_gauss
uncorrected,Langevin + uncorrected,0.398571640253067,langevin,25,0,51.0092601540382,-0.030276702716946602,0.09294146299362183,0.4739103317260742,-0.1467950940132141,0.04788962235817543,0.19611613513818404,langevin_raw
fnpe,Langevin + F-NPSE,0.098960280418396,langevin,25,0,51.17229077295633,0.028481915593147278,0.21825923025608063,1.112908124923706,-0.1467950940132141,0.04788962235817543,0.19611613513818404,langevin_fnpe
gauss,DPM-2 + Gaussian,0.5587828159332275,dpm,50,0,43.56645744800335,-0.2183038294315338,0.15150094032287598,1.0819330215454102,-0.1467950940132141,-0.1400585829042921,0.14002800840280097,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.6075288653373718,dpm,50,0,43.515303644991945,-0.225129634141922,0.15240737795829773,1.0884063243865967,-0.1467950940132141,-0.1400585829042921,0.14002800840280097,dpm_gauss_full
