training_scheme,variant,variant_label,family,timesteps,model_seed,observation,repeat,runtime_s,runtime_per_sample_ms,mean_error,covariance_error,posterior_error
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0,0,1,0.0300571510451845,0.0400762013935794,0.1903838962316513,0.1685098856687545,0.3649433255195617
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0,0,0,0.0607343689771369,0.0809791586361825,0.2088635414838791,0.1922417730093002,0.4015161395072937
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0,0,1,0.0593770620180293,0.0791694160240392,0.1792965531349182,0.2018854916095733,0.4039140939712524
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0,0,0,0.1469577699899673,0.1959436933199564,0.2158956378698349,0.2658077478408813,0.4756948351860046
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0,0,1,0.1493444200023077,0.1991258933364103,0.176338329911232,0.2035008668899536,0.3654972910881042
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0,0,0,0.106415509013459,0.1418873453512787,0.086985558271408,0.2060330957174301,0.1940490007400512
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0,0,1,0.1025382350198924,0.1367176466931899,0.1216509118676185,0.2265733778476715,0.2365432381629943
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0,0,0,0.1459308150224387,0.1945744200299183,0.1530538350343704,0.2129814475774765,0.2919560670852661
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0,0,1,0.1471307789906859,0.1961743719875812,0.1492409408092498,0.177500918507576,0.2311238646507263
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0,0,0,0.2408938660519197,0.3211918214025597,0.126247227191925,0.1587880998849868,0.1456494331359863
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0,0,1,0.233418546966277,0.3112247292883694,0.0991447940468788,0.1932459771633148,0.1725632548332214
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0,0,0,0.5208430589991622,0.6944574119988829,0.0617774501442909,0.1075446233153343,0.068102478981018
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0,0,1,0.5073909370112233,0.6765212493482977,0.0711129605770111,0.0989690124988555,0.0648308992385864
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,5,0,0,0,0.0137729750131256,0.0183639666841675,0.1292423009872436,0.1328566968441009,10.913479804992676
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,5,0,0,1,0.0150527590303681,0.0200703453738242,0.13245590031147,0.130241721868515,12.258136749267578
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,10,0,0,0,0.0294170179986394,0.0392226906648526,0.1088191494345665,0.1430062055587768,10.76890754699707
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,10,0,0,1,0.029725887987297,0.039634517316396,0.1081510111689567,0.1435533016920089,12.000864028930664
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,20,0,0,0,0.0646673300070688,0.0862231066760917,0.1065487042069435,0.1515592336654663,13.684635162353516
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,20,0,0,1,0.0664573560352437,0.0886098080469916,0.0909147709608078,0.1507979929447174,12.06745147705078
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,50,0,0,0,0.1510342529509216,0.2013790039345622,0.1020501479506492,0.1519560813903808,15.068317413330078
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,50,0,0,1,0.1510119910235516,0.2013493213647355,0.0879439115524292,0.1578094214200973,15.25340461730957
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0,0,0,0.0140902920393273,0.0187870560524364,0.0795078054070472,0.8912283778190613,2.935134172439575
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0,0,1,0.015295130026061,0.0203935067014147,0.1489222049713134,1.0229145288467407,3.250277519226074
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0,0,0,0.0309971339884214,0.0413295119845618,0.1622157096862793,0.5247122049331665,1.3279118537902832
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0,0,1,0.0305394530296325,0.0407192707061767,0.1594859212636947,0.3995805382728576,1.0625485181808472
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0,0,0,0.0598559270147234,0.0798079026862979,0.1293354332447052,0.3255263268947601,0.5485495924949646
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0,0,1,0.0634448070195503,0.0845930760260671,0.0975395515561103,0.3491566777229309,0.6046084761619568
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0,0,0,0.1531264140503481,0.2041685520671308,0.0869590267539024,0.2261602580547332,0.2425364851951599
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0,0,1,0.1518741669715382,0.2024988892953843,0.061175487935543,0.2367840111255645,0.2657978534698486
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,0,0,0,0.0152752259746193,0.0203669679661591,0.1116968691349029,1.4331616163253784,3.46965765953064
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,0,0,1,0.015690664993599,0.020920886658132,0.1659377366304397,1.5504573583602903,3.922247648239136
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,0,0,0,0.0310893669957295,0.0414524893276393,0.1380679458379745,0.4804831147193908,0.7480074167251587
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,0,0,1,0.0318131649983115,0.042417553331082,0.1324537843465805,0.3873980343341827,0.5799769163131714
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,0,0,0,0.0639267800142988,0.0852357066857318,0.1188948005437851,0.2535492777824402,0.2594733834266662
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,0,0,1,0.0622916540014557,0.0830555386686076,0.0936712399125099,0.2828044295310974,0.2806767225265503
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,0,0,0,0.1525402879924513,0.2033870506566018,0.0829865112900734,0.1983370631933212,0.1611883640289306
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,0,0,1,0.1526657109498046,0.2035542812664061,0.0768722593784332,0.1760168522596359,0.129773199558258
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,5,0,1,0,0.0148749949876219,0.0198333266501625,0.422097772359848,0.1664891541004181,1.7216300964355469
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,5,0,1,1,0.0145445800153538,0.0193927733538051,0.4229693412780761,0.1808328926563263,1.7581489086151123
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,10,0,1,0,0.0301416809670627,0.0401889079560836,0.3992083370685577,0.2375828474760055,1.6573405265808103
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,10,0,1,1,0.0279356059618294,0.0372474746157725,0.3841964900493622,0.2071952521800995,1.5210075378417969
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,20,0,1,0,0.0582235140027478,0.0776313520036637,0.3365870416164398,0.3077341914176941,1.3756706714630127
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,20,0,1,1,0.0580482940422371,0.0773977253896494,0.3632264733314514,0.269326388835907,1.4606119394302368
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,50,0,1,0,0.145437023951672,0.1939160319355627,0.3427001237869262,0.2630103230476379,1.345122456550598
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,50,0,1,1,0.1493946890113875,0.19919291868185,0.3472047746181488,0.2605237364768982,1.3686832189559937
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,1,0,0.0141391219804063,0.0188521626405417,0.3254228234291076,0.1501493901014328,1.1359291076660156
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,1,1,0.0158042369876056,0.0210723159834742,0.3261114060878753,0.1626950055360794,1.1395138502120972
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,1,0,0.0293400030350312,0.0391200040467083,0.3015981018543243,0.1786938905715942,1.0107120275497437
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,1,1,0.0292568010045215,0.0390090680060287,0.2896727621555328,0.1517299115657806,0.930087685585022
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0,1,0,0.059464996040333,0.0792866613871107,0.2745131850242615,0.2480124235153198,0.9311482310295104
