divergence_loss,epoch,score_loss,split,stage,total_loss
0.0,41,12.29109735812171,train,stage1_score,12.29109735812171
0.0,42,12.101698398590088,train,stage1_score,12.101698398590088
0.0,43,11.944306494825977,train,stage1_score,11.944306494825977
0.0,44,12.199774804088356,train,stage1_score,12.199774804088356
0.0,45,12.051147617189223,train,stage1_score,12.051147617189223
0.0,46,12.010557446776138,train,stage1_score,12.010557446776138
0.0,47,12.309556214822889,train,stage1_score,12.309556214822889
0.0,48,12.146308982439633,train,stage1_score,12.146308982439633
0.0,49,11.890681274866653,train,stage1_score,11.890681274866653
0.0,1,17.226650390625,validation,stage1_score,17.226650390625
0.0,2,14.887953125000001,validation,stage1_score,14.887953125000001
0.0,3,14.36940966796875,validation,stage1_score,14.36940966796875
0.0,4,13.944996337890625,validation,stage1_score,13.944996337890625
0.0,5,13.138460449218751,validation,stage1_score,13.138460449218751
0.0,6,11.847111816406251,validation,stage1_score,11.847111816406251
0.0,7,12.702774169921874,validation,stage1_score,12.702774169921874
0.0,8,13.189779296874999,validation,stage1_score,13.189779296874999
0.0,9,12.237869873046874,validation,stage1_score,12.237869873046874
0.0,10,11.633117919921876,validation,stage1_score,11.633117919921876
0.0,11,12.51395361328125,validation,stage1_score,12.51395361328125
0.0,12,11.91750927734375,validation,stage1_score,11.91750927734375
0.0,13,12.32835302734375,validation,stage1_score,12.32835302734375
0.0,14,12.449635253906251,validation,stage1_score,12.449635253906251
0.0,15,12.82546826171875,validation,stage1_score,12.82546826171875
0.0,16,11.775803466796875,validation,stage1_score,11.775803466796875
0.0,17,12.20574951171875,validation,stage1_score,12.20574951171875
0.0,18,11.821569091796874,validation,stage1_score,11.821569091796874
0.0,19,11.156437744140625,validation,stage1_score,11.156437744140625
0.0,20,12.907637695312502,validation,stage1_score,12.907637695312502
0.0,21,12.52174072265625,validation,stage1_score,12.52174072265625
0.0,22,11.917340576171874,validation,stage1_score,11.917340576171874
0.0,23,11.74898193359375,validation,stage1_score,11.74898193359375
0.0,24,12.167548095703125,validation,stage1_score,12.167548095703125
0.0,25,11.959699951171876,validation,stage1_score,11.959699951171876
0.0,26,11.5235048828125,validation,stage1_score,11.5235048828125
0.0,27,12.54303466796875,validation,stage1_score,12.54303466796875
0.0,28,11.894788818359375,validation,stage1_score,11.894788818359375
0.0,29,11.559979736328124,validation,stage1_score,11.559979736328124
0.0,30,12.372055908203123,validation,stage1_score,12.372055908203123
0.0,31,12.568814208984374,validation,stage1_score,12.568814208984374
0.0,32,11.807025146484376,validation,stage1_score,11.807025146484376
0.0,33,11.532518554687499,validation,stage1_score,11.532518554687499
0.0,34,11.598848876953124,validation,stage1_score,11.598848876953124
0.0,35,12.2316181640625,validation,stage1_score,12.2316181640625
0.0,36,12.713585693359377,validation,stage1_score,12.713585693359377
0.0,37,12.117891357421874,validation,stage1_score,12.117891357421874
0.0,38,12.570092529296874,validation,stage1_score,12.570092529296874
0.0,39,12.22215625,validation,stage1_score,12.22215625
0.0,40,12.545617919921874,validation,stage1_score,12.545617919921874
0.0,41,11.980548828125,validation,stage1_score,11.980548828125
0.0,42,11.776893310546875,validation,stage1_score,11.776893310546875
0.0,43,12.55039306640625,validation,stage1_score,12.55039306640625
0.0,44,12.203929443359375,validation,stage1_score,12.203929443359375
0.0,45,11.761806396484374,validation,stage1_score,11.761806396484374
0.0,46,11.714051025390624,validation,stage1_score,11.714051025390624
0.0,47,12.062124267578126,validation,stage1_score,12.062124267578126
0.0,48,12.08177783203125,validation,stage1_score,12.08177783203125
0.0,49,12.401409423828126,validation,stage1_score,12.401409423828126
0.0003800840254499456,1,12.407545213645461,train,stage2_joint,12.407621246273235
0.00022393916455678916,2,12.467195834143688,train,stage2_joint,12.467285396015578
0.00010906669483073668,3,12.13891739764456,train,stage2_joint,12.138982842871025
1.823712652449463e-05,4,12.370909930622512,train,stage2_joint,12.37092449974879
7.837797665607946e-06,5,12.168744617936301,train,stage2_joint,12.168752411664542
