n_observations,repeat,method,global_error_analytic_sigma,local_rmse_analytic_sigma,joint_mahalanobis_per_dimension,map_runtime_seconds,sampling_runtime_seconds
5,13,old_score,0.31584060192108154,0.22870273888111115,0.1296362280845642,0.15623452397994697,0.28524062992073596
5,14,old_score,0.4319133162498474,0.31177252531051636,0.17652447521686554,0.16142941219732165,0.2857038259971887
5,15,old_score,0.3324063718318939,0.24008846282958984,0.13587377965450287,0.15473155910149217,0.2848259031306952
5,16,old_score,0.1908453404903412,0.1381538361310959,0.07916117459535599,0.15474511520005763,0.28549490799196064
5,17,old_score,0.13831889629364014,0.10048618167638779,0.057047899812459946,0.15790211502462626,0.2897680029273033
5,18,old_score,0.3190373480319977,0.23089338839054108,0.13066504895687103,0.15643416089005768,0.28749025287106633
5,19,old_score,0.649799644947052,0.4694371819496155,0.2659132182598114,0.1563551570288837,0.2897846410050988
10,0,old_score,0.6613568663597107,0.3955047130584717,0.19987289607524872,0.15739264315925539,0.292917168000713
10,1,old_score,0.5999509692192078,0.3591488301753998,0.18124006688594818,0.15839996980503201,0.29211676004342735
10,2,old_score,1.3605684041976929,0.8126552700996399,0.4104214012622833,0.15728292800486088,0.2909707638900727
10,3,old_score,0.5144999623298645,0.30758556723594666,0.15604139864444733,0.15852309111505747,0.2922062068246305
10,4,old_score,0.6574960947036743,0.3927592635154724,0.19858314096927643,0.15780539088882506,0.29142461298033595
10,5,old_score,0.6647319793701172,0.3976454734802246,0.2007863074541092,0.15822453401051462,0.2938178600743413
10,6,old_score,0.030436305329203606,0.021260349079966545,0.016288110986351967,0.15735268406569958,0.2926504148636013
10,7,old_score,0.7113697528839111,0.42455682158470154,0.21471941471099854,0.15803083800710738,0.29146606707945466
10,8,old_score,0.40216729044914246,0.24023829400539398,0.12178271263837814,0.1578296620864421,0.2945700229611248
10,9,old_score,0.35989487171173096,0.21608878672122955,0.10904615372419357,0.15750185400247574,0.29147551697678864
10,10,old_score,0.7773058414459229,0.46450021862983704,0.23450395464897156,0.1582392300479114,0.2943486871663481
10,11,old_score,0.04867127537727356,0.029756393283605576,0.017170866951346397,0.15706304390914738,0.2903997600078583
