training_scheme,variant,variant_label,family,timesteps,runtime_s_median,mean_error_median,mean_error_lo,mean_error_hi,covariance_error_median,covariance_error_lo,covariance_error_hi,posterior_width_ratio_median,posterior_width_ratio_lo,posterior_width_ratio_hi,sliced_wasserstein_median,sliced_wasserstein_lo,sliced_wasserstein_hi,theta_map_squared_error_median,theta_map_squared_error_lo,theta_map_squared_error_hi,observation_map_squared_error_median,observation_map_squared_error_lo,observation_map_squared_error_hi
log_sigma,em_log,"Euler--Maruyama, log sigma",Euler update,50,0.23939725797390565,0.1273055262863636,0.08962387219071388,0.300575053691864,0.23657414317131042,0.17726324647665023,0.35431548953056335,1.3576335906982422,1.1837034702301026,1.5215352177619934,0.13861434161663055,0.10783396661281586,0.20945658236742018,15.632124096155167,0.004211583622964102,2581.2320556640625,0.6634487360715866,0.00557561912573874,69.03974533081055
log_sigma,em_log,"Euler--Maruyama, log sigma",Euler update,100,0.47937577549600974,0.13036299496889114,0.08298595175147057,0.289308288693428,0.19291427731513977,0.14829621315002442,0.2974752694368362,1.2992714047431946,1.1163005828857422,1.5247533082962037,0.1258326731622219,0.09796434193849564,0.20446209162473677,14.65022724121809,0.012143158819526434,2578.3934326171875,0.5670549049973488,0.005378578230738641,69.8638702392578
log_sigma,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0.025925890950020403,0.3458559364080429,0.16186149269342423,0.46266967356204985,0.7422895431518555,0.6979059934616089,0.8681455969810485,2.049100697040558,1.551501739025116,2.610896277427673,0.37670060992240906,0.3354919731616974,0.4417058378458023,13.782989859580994,0.040288070589303976,2596.94375,1.9095560312271118,0.03962342664599419,69.46495132446289
log_sigma,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0.04904387245187536,0.21773089468479156,0.15403642356395722,0.38615981638431546,0.3973718732595444,0.33701987862586974,0.4899760872125625,1.6584580540657043,1.2782769799232483,2.0286206007003784,0.24540814757347107,0.19298830926418306,0.3134461402893066,15.244501680135727,0.02641513021662833,2596.457666015625,0.597217857837677,0.009751962125301362,69.27413177490234
log_sigma,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0.09674636099953204,0.1597529724240303,0.07586647570133209,0.35064677000045774,0.2914830446243286,0.22666099667549133,0.3957313865423202,1.5151181817054749,1.1925410389900208,1.7580061554908752,0.1763588860630989,0.14291744381189347,0.26377859413623805,15.343744032084942,0.008202218823134901,2578.93662109375,0.6614961698651314,0.005932704638689757,70.7296531677246
log_sigma,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0.24129616253776476,0.12891785800457,0.05643272809684277,0.29605554342269896,0.2411331757903099,0.1783304452896118,0.34026788771152494,1.350127100944519,1.187328565120697,1.6237013697624207,0.15376796573400497,0.11272237449884415,0.20667776614427566,15.92694915831089,0.028546621836721898,2581.6031982421873,0.6357943415641785,0.012174792774021627,70.9191390991211
log_sigma,em_uniform,"Euler--Maruyama, uniform t",Euler update,100,0.4752862275345251,0.14499029517173767,0.06680799387395382,0.3101970642805099,0.1991109922528267,0.1444239541888237,0.26249357163906095,1.2898951172828674,1.1121259570121764,1.5519559621810912,0.12970294058322906,0.09980146288871765,0.21445986926555632,14.222019407898188,0.014544077962636948,2591.99765625,0.5434815399348736,0.003842540550976993,69.51306915283203
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0.02517975546652451,0.5157015323638916,0.23712555170059205,0.7293377995491027,0.2369985431432724,0.1169811174273491,0.662507551908493,1.2535854578018188,1.0747568368911744,1.4166862487792968,0.33666278421878815,0.16393034309148788,0.4690099835395813,14.546893045306206,0.03678142363205554,2600.1638671875,2.976547598838806,0.034980665985494874,69.09340744018554
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0.04789419553708285,0.48144884407520294,0.2261544182896614,0.6166284918785095,0.21195834875106812,0.1493753269314766,0.4525525331497192,1.2952019572257996,1.1056534886360168,1.4514522671699523,0.3169260770082474,0.156754931807518,0.39665827453136443,14.32850020751357,0.06036030501127243,2599.835595703125,2.675621658563614,0.05613564588129521,69.02729034423828
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0.09381088148802519,0.46412235498428345,0.1587925836443901,0.6196245372295379,0.20688267052173615,0.1681998372077942,0.4753372400999069,1.342216968536377,1.1187288403511046,1.544021236896515,0.30441704392433167,0.14818647205829621,0.3961609840393066,15.064331904053688,0.03797519095242024,2596.34501953125,2.567661315202713,0.04420645907521248,69.65726013183594
