training_scheme,model_seed,observation,sigma_m,diffusion_time,relative_score_rmse,scaled_score_rmse
log_sigma,1,0,0.8816608190536499,0.5274598002433777,0.5487588047981262,0.5607984066009521
log_sigma,1,0,1.0020384788513184,0.6290942430496216,0.5009483098983765,0.5077039003372192
log_sigma,1,0,1.1388518810272217,0.7421982884407043,0.46296000480651855,0.4541110396385193
log_sigma,1,0,1.2943450212478638,0.8661344647407532,0.45516422390937805,0.4536515176296234
log_sigma,1,0,1.4710685014724731,1.0,0.4240962862968445,0.41859638690948486
log_sigma,1,1,0.031633540987968445,0.0009999875910580158,0.9958409070968628,1.0314956903457642
log_sigma,1,1,0.03595263138413429,0.0012914647813886404,0.9962015151977539,1.0540226697921753
log_sigma,1,1,0.04086142033338547,0.0016677641542628407,0.9946261644363403,0.9457108378410339
log_sigma,1,1,0.04644044116139412,0.002153530716896057,0.9857457280158997,0.9767469167709351
log_sigma,1,1,0.052781183272600174,0.002780495211482048,1.0022526979446411,0.9767377972602844
log_sigma,1,1,0.059987667948007584,0.003589533269405365,0.9774410724639893,0.9607317447662354
log_sigma,1,1,0.06817809492349625,0.004633348435163498,0.948192298412323,0.9496173858642578
log_sigma,1,1,0.0774867832660675,0.005979322362691164,0.9626352190971375,0.9456236362457275
log_sigma,1,1,0.0880664512515068,0.007714332081377506,0.9375193119049072,0.9315611124038696
log_sigma,1,1,0.10009060800075531,0.009949231520295143,0.9368367791175842,0.9427356719970703
log_sigma,1,1,0.11375648528337479,0.01282587368041277,0.9086172580718994,0.8628607392311096
log_sigma,1,1,0.12928824126720428,0.016524694859981537,0.8876535892486572,0.87782222032547
log_sigma,1,1,0.14694061875343323,0.02127472683787346,0.8752363324165344,0.8868101835250854
log_sigma,1,1,0.16700315475463867,0.027364419773221016,0.8862699270248413,0.8430613875389099
log_sigma,1,1,0.18980495631694794,0.03515515476465225,0.8294551968574524,0.8284834027290344
log_sigma,1,1,0.21571995317935944,0.04509562999010086,0.7891190648078918,0.821802020072937
log_sigma,1,1,0.24517332017421722,0.05773649364709854,0.7649428844451904,0.8100938200950623
log_sigma,1,1,0.2786480486392975,0.073743537068367,0.7604232430458069,0.7601296901702881
log_sigma,1,1,0.3166932761669159,0.09390784054994583,0.7259039878845215,0.7417849898338318
log_sigma,1,1,0.3599330186843872,0.11914696544408798,0.6898435950279236,0.6618077754974365
log_sigma,1,1,0.4090765118598938,0.1504938006401062,0.6260152459144592,0.6294329762458801
log_sigma,1,1,0.4649297893047333,0.18906770646572113,0.5692116618156433,0.5733146667480469
log_sigma,1,1,0.5284090042114258,0.23602324724197388,0.5468397736549377,0.5681960582733154
log_sigma,1,1,0.6005553603172302,0.2924765646457672,0.5159956216812134,0.5287085175514221
log_sigma,1,1,0.6825522184371948,0.3594135344028473,0.46340709924697876,0.45732638239860535
log_sigma,1,1,0.7757444977760315,0.43759262561798096,0.4373646080493927,0.4715997874736786
log_sigma,1,1,0.8816608190536499,0.5274598002433777,0.3937678039073944,0.39948466420173645
log_sigma,1,1,1.0020384788513184,0.6290942430496216,0.3756183087825775,0.42023056745529175
