training_scheme,variant,variant_label,family,timesteps,model_seed,observation,repeat,runtime_s,runtime_per_sample_ms,runtime_device,mean_error,covariance_error,posterior_width_ratio,theta_map_squared_error,observation_map_squared_error,sliced_wasserstein
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,100,2,2,0,0.4684259929927066,0.6245679906569421,cuda,0.47044339776039124,0.18366692960262299,1.422573208808899,2593.814453125,69.46426391601562,0.31051892042160034
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,100,2,2,1,0.464548651012592,0.6193982013501227,cuda,0.4691562354564667,0.23095369338989258,1.5181760787963867,2599.165771484375,69.76821899414062,0.3093263506889343
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,2,2,0,0.025808490929193795,0.03441132123892506,cuda,0.46545135974884033,0.13307350873947144,1.281883955001831,2593.257568359375,69.40534973144531,0.30456796288490295
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,2,2,1,0.022384975920431316,0.029846634560575087,cuda,0.4584612250328064,0.11392007023096085,1.236660122871399,2589.735107421875,69.6875991821289,0.299602210521698
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,2,2,0,0.048218382988125086,0.06429117731750011,cuda,0.4947397708892822,0.19057561457157135,1.4368151426315308,2598.02099609375,69.09349822998047,0.3259126842021942
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,2,2,1,0.04542062000837177,0.06056082667782903,cuda,0.458814412355423,0.16287387907505035,1.3695706129074097,2589.136962890625,69.6741714477539,0.3025916814804077
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,2,2,0,0.09634695400018245,0.1284626053335766,cuda,0.4930891692638397,0.1994178742170334,1.449388027191162,2605.890380859375,69.11222839355469,0.32432252168655396
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,2,2,1,0.09668285201769322,0.1289104693569243,cuda,0.4576764702796936,0.17609722912311554,1.4024531841278076,2581.949951171875,70.48858642578125,0.30145263671875
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,2,2,0,0.23769946000538766,0.31693261334051687,cuda,0.45696935057640076,0.16903603076934814,1.39046049118042,2599.54541015625,69.41000366210938,0.3013036251068115
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,2,2,1,0.2402912339894101,0.32038831198588014,cuda,0.4196309447288513,0.1804092526435852,1.4033499956130981,2594.55126953125,69.96601867675781,0.2768990397453308
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,100,2,2,0,0.46121383795980364,0.6149517839464048,cuda,0.47167515754699707,0.18450510501861572,1.4287699460983276,2593.888427734375,69.46670532226562,0.31167322397232056
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,100,2,2,1,0.4659710149280727,0.6212946865707636,cuda,0.4703299403190613,0.23204085230827332,1.5245939493179321,2599.254150390625,69.78304290771484,0.3104880750179291
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,5,2,2,0,0.1616860699141398,0.2155814265521864,cuda,0.2915264368057251,0.2452804297208786,1.6056934595108032,2573.267578125,69.58854675292969,0.2212662249803543
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,5,2,2,1,0.1711574860382825,0.22820998138437668,cuda,0.2520982325077057,0.23822611570358276,1.5999938249588013,2579.08447265625,70.10372924804688,0.20734059810638428
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,10,2,2,0,0.23046469199471176,0.307286255992949,cuda,0.2766006290912628,0.18919497728347778,1.4575297832489014,2597.77783203125,68.90347290039062,0.19303257763385773
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,10,2,2,1,0.23007186001632363,0.3067624800217648,cuda,0.2815275490283966,0.177786186337471,1.4359692335128784,2582.967529296875,70.1634292602539,0.2001182585954666
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,20,2,2,0,0.3740046969614923,0.49867292928198975,cuda,0.24427074193954468,0.19190554320812225,1.45897376537323,2598.87158203125,68.36820220947266,0.1822478473186493
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,20,2,2,1,0.37408071605022997,0.49877428806697327,cuda,0.24354706704616547,0.16646499931812286,1.4081697463989258,2586.26513671875,69.5020980834961,0.1735600084066391
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,50,2,2,0,0.7841297499835491,1.0455063333113988,cuda,0.15903529524803162,0.15129335224628448,1.36371910572052,2555.095458984375,70.5284423828125,0.12658484280109406
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,50,2,2,1,0.8370848629856482,1.116113150647531,cuda,0.17046773433685303,0.13655197620391846,1.338123083114624,2584.8759765625,69.49840545654297,0.12635454535484314
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,100,2,2,0,1.4842238340061158,1.9789651120081544,cuda,0.12160029262304306,0.1022447869181633,1.2562229633331299,2580.599853515625,69.81078338623047,0.09823483973741531
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,100,2,2,1,1.4804556530434638,1.9739408707246184,cuda,0.15538577735424042,0.12663504481315613,1.3146593570709229,2581.648193359375,70.04254913330078,0.11387855559587479
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,2,2,0,0.211807842948474,0.282410457264632,cuda,0.3506753146648407,0.17999966442584991,1.4280049800872803,2596.5986328125,69.95146942138672,0.23506660759449005
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,2,2,1,0.16177971998695284,0.21570629331593713,cuda,0.3044634759426117,0.15793763101100922,1.3861020803451538,2592.384521484375,69.97840881347656,0.20722904801368713
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,2,2,0,0.2345821779454127,0.31277623726055026,cuda,0.36655181646347046,0.20356515049934387,1.4655259847640991,2613.212646484375,68.00341033935547,0.24645209312438965
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,2,2,1,0.22662721597589552,0.302169621301194,cuda,0.3437170684337616,0.1638546884059906,1.3839905261993408,2584.4697265625,69.8421859741211,0.2295728474855423
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,2,2,0,0.37977678200695664,0.5063690426759422,cuda,0.32939472794532776,0.16235776245594025,1.3776237964630127,2595.16796875,68.9300765991211,0.21851304173469543
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,2,2,1,0.3628970760619268,0.48386276808256906,cuda,0.3121415376663208,0.15822888910770416,1.3678641319274902,2580.879150390625,69.32211303710938,0.20756977796554565
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,2,2,0,0.7778464730363339,1.037128630715112,cuda,0.21326439082622528,0.11676420271396637,1.2710720300674438,2556.728515625,69.94949340820312,0.1441592574119568
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,2,2,1,0.822292826953344,1.096390435937792,cuda,0.17262224853038788,0.12660086154937744,1.2918215990066528,2557.093994140625,70.17115020751953,0.1252189576625824
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,100,2,2,0,1.4694842139724642,1.959312285296619,cuda,0.08585984259843826,0.05638691037893295,1.096620798110962,2563.73388671875,70.21955871582031,0.06714622676372528
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,100,2,2,1,1.4958537970669568,1.994471729422609,cuda,0.12699797749519348,0.08329242467880249,1.1864243745803833,2571.175048828125,70.25082397460938,0.090199314057827
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,2,2,0,0.025988016044721007,0.03465068805962801,cuda,0.4064731299877167,0.7434758543968201,2.5189976692199707,2581.186767578125,68.77845764160156,0.42479586601257324
