training_scheme,sigma_m,diffusion_time,relative_score_rmse_median,relative_score_rmse_lo,relative_score_rmse_hi,scaled_score_rmse_median,scaled_score_rmse_lo,scaled_score_rmse_hi
mixture,0.052781183272600174,0.002780495211482048,0.9381392598152161,0.9009904503822327,1.003186571598053,0.9635104835033417,0.8948504388332367,1.0080131053924561
mixture,0.059987667948007584,0.003589533269405365,0.9362494051456451,0.8670150160789489,0.9791378736495971,0.9413735568523407,0.8701388120651246,1.0122172236442566
mixture,0.06817809492349625,0.004633348435163498,0.8973941206932068,0.8114386618137359,0.9582575976848602,0.9108327329158783,0.8184743165969849,0.9667638659477233
mixture,0.0774867832660675,0.005979322362691164,0.9038554430007935,0.824671334028244,0.969787722826004,0.8882134258747101,0.8168491363525391,1.0229678392410277
mixture,0.0880664512515068,0.007714332081377506,0.8862187266349792,0.8243025302886963,0.9461010873317719,0.8655655384063721,0.7906135320663452,0.9445962131023407
mixture,0.10009060800075531,0.009949231520295143,0.8657055199146271,0.7900940895080566,0.9364608645439148,0.8562640845775604,0.7861395537853241,0.9423573970794678
mixture,0.11375648528337479,0.01282587368041277,0.8524298965930939,0.767091429233551,0.9065144002437592,0.84091717004776,0.7503459572792053,0.8807475805282593
mixture,0.12928824126720428,0.016524694859981537,0.8199556767940521,0.7604234993457795,0.8877218544483185,0.820829451084137,0.7446092963218689,0.877889770269394
mixture,0.14694061875343323,0.02127472683787346,0.8128995001316071,0.7592798113822937,0.8737199008464813,0.8109065592288971,0.7405650794506073,0.8852736473083496
mixture,0.16700315475463867,0.027364419773221016,0.7864451706409454,0.7209420323371887,0.8849845409393311,0.7922731041908264,0.704924613237381,0.8602568209171295
mixture,0.18980495631694794,0.03515515476465225,0.776923418045044,0.696347463130951,0.8336896419525146,0.791603147983551,0.685974794626236,0.8376447081565856
mixture,0.21571995317935944,0.04509562999010086,0.76467165350914,0.7143078029155732,0.785905909538269,0.7565407454967499,0.732483184337616,0.8184558153152466
mixture,0.24517332017421722,0.05773649364709854,0.727868914604187,0.6853912234306335,0.7891437828540802,0.7463153898715973,0.6820272326469421,0.8055173814296722
mixture,0.2786480486392975,0.073743537068367,0.7384088933467865,0.7188207983970643,0.7573600471019745,0.7312532961368561,0.721696549654007,0.7570676267147064
mixture,0.3166932761669159,0.09390784054994583,0.709574282169342,0.6668595492839813,0.7362705409526825,0.7120545506477356,0.6819814622402192,0.747327345609665
mixture,0.3599330186843872,0.11914696544408798,0.6873117983341217,0.6762062609195709,0.6927240490913391,0.6859344840049744,0.6551803886890412,0.7092356622219086
mixture,0.4090765118598938,0.1504938006401062,0.6207675635814667,0.6008932411670684,0.6489550232887268,0.6263826489448547,0.5889768838882447,0.6564788699150086
mixture,0.4649297893047333,0.18906770646572113,0.6059875190258026,0.5619394183158875,0.6946832120418549,0.6164796054363251,0.5659900188446045,0.691379976272583
mixture,0.5284090042114258,0.23602324724197388,0.584863156080246,0.5401956260204315,0.6200757324695587,0.5683900415897369,0.5612923741340637,0.6069780945777893
mixture,0.6005553603172302,0.2924765646457672,0.5650743246078491,0.5063115239143372,0.6095793426036835,0.5755317211151123,0.5187857985496521,0.6029657244682312
mixture,0.6825522184371948,0.3594135344028473,0.5344873368740082,0.4541200190782547,0.5868419289588929,0.5450467467308044,0.4481611669063568,0.5881243765354156
mixture,0.7757444977760315,0.43759262561798096,0.4983081668615341,0.4242958605289459,0.5450308859348297,0.4846920222043991,0.45750806033611296,0.5630827784538269
mixture,0.8816608190536499,0.5274598002433777,0.4803180396556854,0.38202680051326754,0.5427471756935119,0.48615945875644684,0.38757318556308745,0.5553869009017944
mixture,1.0020384788513184,0.6290942430496216,0.4462678134441376,0.3649613320827484,0.49793095588684083,0.4479917585849762,0.4083078622817993,0.5046459197998047
mixture,1.1388518810272217,0.7421982884407043,0.4104887545108795,0.31852086782455447,0.4701152741909027,0.4108195900917053,0.30464176535606385,0.4643721729516983
mixture,1.2943450212478638,0.8661344647407532,0.39174528419971466,0.28320242166519166,0.461904376745224,0.3940936326980591,0.26547923386096955,0.4682668626308441
mixture,1.4710685014724731,1.0,0.375869020819664,0.24516053795814513,0.43425668179988863,0.37401431798934937,0.25089909732341764,0.43885399103164674
uniform,0.031633540987968445,0.0009999875910580158,1.0037496387958527,0.9622023344039917,1.039751148223877,1.0140368938446045,0.9274925172328949,1.059341847896576
uniform,0.03595263138413429,0.0012914647813886404,1.0021064579486847,0.9301244854927063,1.029869508743286,1.0132474601268768,0.9291154205799103,1.0801086664199828
