stage,epoch,split,total_loss,score_loss,divergence_loss
stage1_score,70,train,5.367381354671,5.367381354671,0.0
stage1_score,71,train,5.397552546698724,5.397552546698724,0.0
stage1_score,72,train,5.287108962066338,5.287108962066338,0.0
stage1_score,73,train,5.335241827513555,5.335241827513555,0.0
stage1_score,74,train,5.345960275474411,5.345960275474411,0.0
stage1_score,75,train,5.281477370713373,5.281477370713373,0.0
stage1_score,76,train,5.239310894231967,5.239310894231967,0.0
stage1_score,77,train,5.28633584098133,5.28633584098133,0.0
stage1_score,78,train,5.30767940852953,5.30767940852953,0.0
stage1_score,79,train,5.304932272586676,5.304932272586676,0.0
stage1_score,80,train,5.319541424802503,5.319541424802503,0.0
stage1_score,81,train,5.3180226179644885,5.3180226179644885,0.0
stage1_score,82,train,5.263328011749346,5.263328011749346,0.0
stage1_score,83,train,5.334144187156502,5.334144187156502,0.0
stage1_score,84,train,5.29559236328925,5.29559236328925,0.0
stage1_score,85,train,5.355064141232035,5.355064141232035,0.0
stage1_score,86,train,5.347734244827114,5.347734244827114,0.0
stage1_score,87,train,5.263772489591633,5.263772489591633,0.0
stage1_score,88,train,5.324340889581939,5.324340889581939,0.0
stage1_score,89,train,5.30851001702916,5.30851001702916,0.0
stage1_score,90,train,5.343362701884316,5.343362701884316,0.0
stage1_score,91,train,5.37264232294029,5.37264232294029,0.0
stage1_score,92,train,5.371230545190289,5.371230545190289,0.0
stage1_score,93,train,5.307159667490693,5.307159667490693,0.0
stage1_score,94,train,5.289273478856782,5.289273478856782,0.0
stage1_score,95,train,5.2082954182344325,5.2082954182344325,0.0
stage1_score,96,train,5.367169583849894,5.367169583849894,0.0
stage1_score,97,train,5.32331749325823,5.32331749325823,0.0
stage1_score,98,train,5.391849203304867,5.391849203304867,0.0
stage1_score,99,train,5.309368366963418,5.309368366963418,0.0
stage1_score,100,train,5.334671987353079,5.334671987353079,0.0
stage1_score,101,train,5.324635933122367,5.324635933122367,0.0
stage1_score,102,train,5.300889807040124,5.300889807040124,0.0
stage1_score,1,validation,7.29738916015625,7.29738916015625,0.0
stage1_score,2,validation,6.46454736328125,6.46454736328125,0.0
stage1_score,3,validation,5.071666015625,5.071666015625,0.0
