bias,centered_rmse,comparison,correlation,mae,mask,problem,rmse,timesteps
-0.827086137460852,0.6441896296493073,current_vs_analytic,0.7329751607428127,0.9383819268042723,likelihood,line,1.0483566939394355,200
-0.8270856531731132,0.6441896069417702,upstream_vs_analytic,0.7329751777016246,0.9383815617258231,likelihood,line,1.0483562979143053,200
-4.842877388000488e-07,5.092078037512831e-07,current_vs_upstream,0.9999999999998315,4.842877388000488e-07,likelihood,line,7.027283979983089e-07,200
-0.8278540986052993,0.6442890082662303,current_vs_analytic,0.7329117901533092,0.9390295908744017,likelihood,line,1.0490237055235097,500
-0.8278537111751083,0.6442890014890935,upstream_vs_analytic,0.7329117857122898,0.9390293077523391,likelihood,line,1.049023395614327,500
-3.8743019104003906e-07,5.58346330976343e-07,current_vs_upstream,0.9999999999997979,4.76837158203125e-07,likelihood,line,6.795975119466412e-07,500
106.81156941988421,109.42680437395612,current_grid_vs_analytic,0.6516301251656511,106.8363322479333,posterior,parabola,152.91480267598297,100
106.81156962850046,109.42680428004464,upstream_grid_vs_analytic,0.6516301335924496,106.83633242403793,posterior,parabola,152.91480275449854,100
-2.086162567138672e-07,3.5909240849942536e-07,current_grid_vs_upstream,0.9999999999999972,2.3570927706631747e-07,posterior,parabola,4.1529278877344395e-07,100
1.6843930557896991,3.193635652107987,current_grid_vs_analytic,0.5569846985578538,2.468516104506559,likelihood,parabola,3.610607794375868,100
1.6843934796882014,3.1936356525121807,upstream_grid_vs_analytic,0.556984699172034,2.468516175740192,likelihood,parabola,3.6106079924872803,100
-4.2389850227200255e-07,5.253431892355252e-07,current_grid_vs_upstream,0.9999999999999771,4.7138759068080356e-07,likelihood,parabola,6.75037337267058e-07,100
-0.032464529673990564,0.2047267989335805,current_vs_analytic,0.9127587602112284,0.16245882422267538,posterior,parabola,0.2072848472236794,10
-0.0324637212859958,0.20472689011791956,upstream_vs_analytic,0.9127587115940585,0.16245882049738508,posterior,parabola,0.20728481067625174,10
-8.083879947662354e-07,4.3518980940877266e-07,current_vs_upstream,0.9999999999997069,8.083879947662354e-07,posterior,parabola,9.180856824367859e-07,10
-0.28061396750384265,0.20090739835490654,current_vs_analytic,0.9141754911456585,0.3127357043226613,posterior,parabola,0.3451202420490354,50
-0.2806133789079755,0.2009074014634279,upstream_vs_analytic,0.9141754850937955,0.3127351604302777,posterior,parabola,0.3451197652771253,50
-5.885958671569824e-07,3.525471140241915e-07,current_vs_upstream,0.9999999999997499,5.960464477539062e-07,posterior,parabola,6.86100985599836e-07,50
-0.28735429542833263,0.20147415075159414,current_vs_analytic,0.9136854797138265,0.3188149422307862,posterior,parabola,0.35094775184091087,100
-0.28735401230626995,0.20147413631007235,upstream_vs_analytic,0.913685492476719,0.3188147038122071,posterior,parabola,0.3509475117313151,100
-2.8312206268310547e-07,4.1052631479370326e-07,current_vs_upstream,0.9999999999995796,3.427267074584961e-07,posterior,parabola,4.986882367933247e-07,100
-0.28896736102872783,0.20159288702660655,current_vs_analytic,0.913581946162106,0.3202680140634431,posterior,parabola,0.35233766168212743,200
-0.2889671673136323,0.20159288615465476,upstream_vs_analytic,0.9135819463900455,0.32026785015066994,posterior,parabola,0.3523375023091189,200
-1.9371509552001953e-07,4.017790783260096e-07,current_vs_upstream,0.9999999999995978,2.5331974029541016e-07,posterior,parabola,4.460403188197543e-07,200
-0.2894194212811559,0.20161284408950958,current_vs_analytic,0.9135651579228641,0.3206762500008,posterior,parabola,0.35271991766354804,500
-0.28941927226954395,0.2016128457785038,upstream_vs_analytic,0.9135651577747078,0.32067614569267167,posterior,parabola,0.3527197963595738,500
-1.4901161193847656e-07,2.9950963321688443e-07,current_vs_upstream,0.9999999999997828,2.1606683731079102e-07,posterior,parabola,3.345302391148157e-07,500
-0.7173752373724407,0.48580230541796493,current_vs_analytic,0.8410056982317541,0.7564574395193748,likelihood,parabola,0.8663896993527654,10
-0.7173742315440601,0.4858024427194084,upstream_vs_analytic,0.8410056485194449,0.7564565529002838,likelihood,parabola,0.8663889435095388,10
-1.0058283805847168e-06,5.786084626720525e-07,current_vs_upstream,0.9999999999998028,1.0058283805847168e-06,likelihood,parabola,1.1603785952288976e-06,10
-1.1098711340396827,0.47817673082412365,current_vs_analytic,0.8425703321429707,1.1133848735513718,likelihood,parabola,1.2084977948164315,50
-1.1098704113333648,0.4781767387735431,upstream_vs_analytic,0.8425703242297433,1.1133842104496987,likelihood,parabola,1.2084971342363182,50
-7.227063179016113e-07,5.462347827335887e-07,current_vs_upstream,0.9999999999998017,7.227063179016113e-07,likelihood,parabola,9.05912170026938e-07,50
-1.1227202712266868,0.4781930184883753,current_vs_analytic,0.8426143357540931,1.1252041570014442,likelihood,parabola,1.2203152749819814,100
-1.1227199657528824,0.4781929549860905,upstream_vs_analytic,0.8426143994462645,1.125203881329962,likelihood,parabola,1.220314969054499,100
-3.0547380447387695e-07,5.355614982538506e-07,current_vs_upstream,0.9999999999998156,4.0978193283081055e-07,likelihood,parabola,6.165552397244335e-07,100
-1.1251767798035568,0.478545571653381,current_vs_analytic,0.842358745873729,1.127500835723349,likelihood,parabola,1.2227136418467586,200
-1.1251763551204628,0.47854550700020454,upstream_vs_analytic,0.8423587885935531,1.1275004408425773,likelihood,parabola,1.2227132257370297,200
-4.246830940246582e-07,5.96744530891167e-07,current_vs_upstream,0.9999999999997639,4.991888999938965e-07,likelihood,parabola,7.324341373112504e-07,200
-1.1259210406511253,0.4785693372325543,current_vs_analytic,0.8423389399520363,1.1282032988137687,likelihood,parabola,1.2234078634372592,500
-1.125920787331385,0.47856931707186223,upstream_vs_analytic,0.84233895624564,1.128203090197512,likelihood,parabola,1.2234076224168111,500
-2.5331974029541016e-07,6.741849199452173e-07,current_vs_upstream,0.9999999999996988,5.21540641784668e-07,likelihood,parabola,7.202056630608185e-07,500
20.523609196280272,25.179216534733506,current_grid_vs_analytic,0.7000903382559441,20.743829566484088,posterior,banana,32.484018836108284,100
20.523609545831107,25.17921651942534,upstream_grid_vs_analytic,0.7000903404857587,20.74382984752607,posterior,banana,32.48401904509095,100
-3.4955083107461736e-07,4.671456845430529e-07,current_grid_vs_upstream,0.9999999999999949,3.682350625797194e-07,posterior,banana,5.834474047351253e-07,100
2.3178271682537397,2.5091370439071743,current_grid_vs_analytic,0.819565292370965,2.5943115711978257,likelihood,banana,3.415858821292587,100
2.3178275419383696,2.50913705195027,upstream_grid_vs_analytic,0.8195652898259317,2.5943117806169207,likelihood,banana,3.415859080763982,100
-3.736846301020408e-07,4.796845162924695e-07,current_grid_vs_upstream,0.9999999999999526,4.110530931122449e-07,likelihood,banana,6.080603900479289e-07,100
-0.27217676608386004,0.5321855121170348,current_vs_analytic,0.8105567240032907,0.4643231907014955,posterior,banana,0.5977471131700586,10
-0.2721761476856705,0.5321855093133837,upstream_vs_analytic,0.8105567325065781,0.4643228256230463,posterior,banana,0.597746829094189,10
-6.183981895446777e-07,4.1875974823225724e-07,current_vs_upstream,0.9999999999998691,6.183981895446777e-07,posterior,banana,7.468440584028761e-07,10
-0.5628014732061934,0.5619818971309757,current_vs_analytic,0.7973803093515272,0.6512959481290217,posterior,banana,0.7953421596683984,50
-0.5628010112701964,0.5619818873586019,upstream_vs_analytic,0.7973803118974863,0.6512956203034754,posterior,banana,0.7953418258873928,50
-4.6193599700927734e-07,3.950915808547393e-07,current_vs_upstream,0.9999999999998962,4.76837158203125e-07,posterior,banana,6.07850493620966e-07,50
-0.5707846958099914,0.5630571801939653,current_vs_analytic,0.7969616477424422,0.6574204445889826,posterior,banana,0.8017658992117861,100
-0.5707843009292197,0.5630571634137831,upstream_vs_analytic,0.796961665064836,0.657420124214017,posterior,banana,0.8017656063082487,100
-3.948807716369629e-07,4.424791863948477e-07,current_vs_upstream,0.9999999999998701,4.0978193283081055e-07,posterior,banana,5.93058727447164e-07,100
-0.5727449286638808,0.5633282122170051,current_vs_analytic,0.7968567197322057,0.6589251489451762,posterior,banana,0.8033526174662039,200
-0.572744481629045,0.563328249631331,upstream_vs_analytic,0.7968566736689936,0.6589248211196299,posterior,banana,0.8033523249914838,200
