likelihood_std,mean_error_sigma,n_observations,prior_std,repeat,runtime_seconds,std_ratio,variant
0.5,0.13313262164592743,10,0.3,1,0.6126380241475999,1.0549407005310059,DPM-2 + hybrid (no damping)
0.5,0.10918237268924713,10,0.3,1,0.4968377479817718,1.0566704273223877,DPM-2 + hybrid damping
0.5,0.10899809747934341,25,0.3,1,0.4193718880414963,0.9618861675262451,DPM-2 + damping
0.5,0.0275640357285738,25,0.3,1,0.49716427619569004,1.0266790390014648,DPM-2 + Gaussian + damping
0.5,0.0776127353310585,25,0.3,1,0.5767149201128632,1.0731582641601562,DPM-2 + hybrid (no damping)
0.5,0.08597014844417572,25,0.3,1,0.5272399468813092,1.095849871635437,DPM-2 + hybrid damping
0.5,0.07385680079460144,50,0.3,1,0.41216694680042565,0.9899394512176514,DPM-2 + damping
0.5,0.026662766933441162,50,0.3,1,0.49408211396075785,1.0139682292938232,DPM-2 + Gaussian + damping
0.5,0.06840326637029648,50,0.3,1,0.6144130050670356,1.0999265909194946,DPM-2 + hybrid (no damping)
0.5,0.05239998176693916,50,0.3,1,0.5029161318670958,1.0735723972320557,DPM-2 + hybrid damping
0.5,0.06977512687444687,100,0.3,1,0.41644426505081356,1.0293729305267334,DPM-2 + damping
0.5,0.027481062337756157,100,0.3,1,0.5552610168233514,1.021425485610962,DPM-2 + Gaussian + damping
0.5,0.06196071580052376,100,0.3,1,0.564038661075756,1.0836917161941528,DPM-2 + hybrid (no damping)
0.5,0.057742051780223846,100,0.3,1,0.5066127229947597,1.100163221359253,DPM-2 + hybrid damping
0.5,0.008405645377933979,1,0.3,2,0.40840510185807943,1.0183587074279785,DPM-2 + damping
0.5,0.020221738144755363,1,0.3,2,0.4827323048375547,0.9875867962837219,DPM-2 + Gaussian + damping
0.5,0.030900508165359497,1,0.3,2,0.5366000048816204,0.9991024136543274,DPM-2 + hybrid (no damping)
0.5,0.026493819430470467,1,0.3,2,0.4755166578106582,1.0036613941192627,DPM-2 + hybrid damping
0.5,0.016939902678132057,2,0.3,2,0.41194248804822564,0.9923070669174194,DPM-2 + damping
0.5,0.037803374230861664,2,0.3,2,0.4878583778627217,1.0244977474212646,DPM-2 + Gaussian + damping
0.5,0.013773586601018906,2,0.3,2,0.5589439198374748,1.0111546516418457,DPM-2 + hybrid (no damping)
0.5,0.01878969930112362,2,0.3,2,0.4977784769143909,1.0434231758117676,DPM-2 + hybrid damping
0.5,0.04312575235962868,5,0.3,2,0.4101451840251684,0.9548882246017456,DPM-2 + damping
0.5,0.012830885127186775,5,0.3,2,0.49579562107101083,1.019317626953125,DPM-2 + Gaussian + damping
0.5,0.042304184287786484,5,0.3,2,0.5555113209411502,1.027625322341919,DPM-2 + hybrid (no damping)
0.5,0.030863510444760323,5,0.3,2,0.49736906215548515,1.0455412864685059,DPM-2 + hybrid damping
0.5,0.13396844267845154,10,0.3,2,0.44100589491426945,0.9350142478942871,DPM-2 + damping
0.5,0.01199139840900898,10,0.3,2,0.49474713997915387,1.0421228408813477,DPM-2 + Gaussian + damping
0.5,0.05610067397356033,10,0.3,2,0.6325477540958673,1.055499792098999,DPM-2 + hybrid (no damping)
0.5,0.10419763624668121,10,0.3,2,0.5000813729129732,1.0689568519592285,DPM-2 + hybrid damping
0.5,0.043380074203014374,25,0.3,2,0.41131405299529433,0.9597358703613281,DPM-2 + damping
0.5,0.030743269249796867,25,0.3,2,0.512721291044727,1.0144187211990356,DPM-2 + Gaussian + damping
0.5,0.0321485698223114,25,0.3,2,0.5743105530273169,1.0681968927383423,DPM-2 + hybrid (no damping)
0.5,0.017106475308537483,25,0.3,2,0.5010090370196849,1.0550587177276611,DPM-2 + hybrid damping
0.5,0.12598955631256104,50,0.3,2,0.41204067203216255,1.0126476287841797,DPM-2 + damping
0.5,0.04246770963072777,50,0.3,2,0.49230183311738074,1.0107091665267944,DPM-2 + Gaussian + damping
0.5,0.12642724812030792,50,0.3,2,0.5767267860937864,1.072206974029541,DPM-2 + hybrid (no damping)
0.5,0.059625159949064255,50,0.3,2,0.5018268139101565,1.0937529802322388,DPM-2 + hybrid damping
0.5,0.014189406298100948,100,0.3,2,0.4154397379606962,1.0118465423583984,DPM-2 + damping
0.5,0.030628014355897903,100,0.3,2,0.4933531500864774,1.0082433223724365,DPM-2 + Gaussian + damping
0.5,0.014936402440071106,100,0.3,2,0.5750539698638022,1.0876092910766602,DPM-2 + hybrid (no damping)
0.5,0.00925887655466795,100,0.3,2,0.514726331923157,1.093958854675293,DPM-2 + hybrid damping
