n_observations,repeat,method,parameter,parameter_index,truth,analytic_map,analytic_std,estimate
2,14,analytic,local,1,0.13299566507339478,0.3743381202220917,0.4105673134326935,0.3743381202220917
2,14,analytic,local,2,-0.23763228952884674,-0.2847682237625122,0.4105673134326935,-0.2847682237625122
2,14,old_score,global,0,0.07671566307544708,0.159234881401062,0.3985288441181183,0.15010352432727814
2,14,old_score,local,1,0.13299566507339478,0.3743381202220917,0.4105673134326935,0.38048285245895386
2,14,old_score,local,2,-0.23763228952884674,-0.2847682237625122,0.4105673134326935,-0.27500149607658386
2,14,joint_score,global,0,0.07671566307544708,0.159234881401062,0.3985288441181183,0.04608022794127464
2,14,joint_score,local,1,0.13299566507339478,0.3743381202220917,0.4105673134326935,0.4683835208415985
2,14,joint_score,local,2,-0.23763228952884674,-0.2847682237625122,0.4105673134326935,-0.18721064925193787
2,15,analytic,global,0,0.03333522751927376,-0.25557324290275574,0.3985288441181183,-0.25557324290275574
2,15,analytic,local,1,-0.6488416790962219,-0.06561750918626785,0.4105673134326935,-0.06561750918626785
2,15,analytic,local,2,0.05523166432976723,-0.07814254611730576,0.4105673134326935,-0.07814254611730576
2,15,old_score,global,0,0.03333522751927376,-0.25557324290275574,0.3985288441181183,-0.244240865111351
2,15,old_score,local,1,-0.6488416790962219,-0.06561750918626785,0.4105673134326935,-0.0756165161728859
2,15,old_score,local,2,0.05523166432976723,-0.07814254611730576,0.4105673134326935,-0.08807242661714554
2,15,joint_score,global,0,0.03333522751927376,-0.25557324290275574,0.3985288441181183,-0.3963148891925812
2,15,joint_score,local,1,-0.6488416790962219,-0.06561750918626785,0.4105673134326935,0.05281440168619156
2,15,joint_score,local,2,0.05523166432976723,-0.07814254611730576,0.4105673134326935,0.0403565987944603
2,16,analytic,global,0,-0.030110284686088562,-0.09245193749666214,0.3985288441181183,-0.09245193749666214
2,16,analytic,local,1,-0.29875728487968445,-0.2564695477485657,0.4105673134326935,-0.2564695477485657
2,16,analytic,local,2,0.2342097908258438,0.20446524024009705,0.4105673134326935,0.20446524024009705
2,16,old_score,global,0,-0.030110284686088562,-0.09245193749666214,0.3985288441181183,-0.08431532233953476
2,16,old_score,local,1,-0.29875728487968445,-0.2564695477485657,0.4105673134326935,-0.26221346855163574
2,16,old_score,local,2,0.2342097908258438,0.20446524024009705,0.4105673134326935,0.19618342816829681
2,16,joint_score,global,0,-0.030110284686088562,-0.09245193749666214,0.3985288441181183,-0.1431715041399002
2,16,joint_score,local,1,-0.29875728487968445,-0.2564695477485657,0.4105673134326935,-0.21254201233386993
2,16,joint_score,local,2,0.2342097908258438,0.20446524024009705,0.4105673134326935,0.2459237426519394
2,17,analytic,global,0,0.33720359206199646,0.8711866736412048,0.3985288441181183,0.8711866736412048
2,17,analytic,local,1,0.5645630955696106,0.5570404529571533,0.4105673134326935,0.5570404529571533
2,17,analytic,local,2,0.9117834568023682,-0.06699828803539276,0.4105673134326935,-0.06699828803539276
2,17,old_score,global,0,0.33720359206199646,0.8711866736412048,0.3985288441181183,0.8400847911834717
2,17,old_score,local,1,0.5645630955696106,0.5570404529571533,0.4105673134326935,0.5829316973686218
2,17,old_score,local,2,0.9117834568023682,-0.06699828803539276,0.4105673134326935,-0.037673402577638626
2,17,joint_score,global,0,0.33720359206199646,0.8711866736412048,0.3985288441181183,0.8335431218147278
2,17,joint_score,local,1,0.5645630955696106,0.5570404529571533,0.4105673134326935,0.5884686708450317
2,17,joint_score,local,2,0.9117834568023682,-0.06699828803539276,0.4105673134326935,-0.03220904991030693
2,18,analytic,global,0,-0.32266613841056824,-0.30449527502059937,0.3985288441181183,-0.30449527502059937
2,18,analytic,local,1,-0.23159180581569672,-0.31693848967552185,0.4105673134326935,-0.31693848967552185
2,18,analytic,local,2,0.2986130118370056,0.14565995335578918,0.4105673134326935,0.14565995335578918
2,18,old_score,global,0,-0.32266613841056824,-0.30449527502059937,0.3985288441181183,-0.28937050700187683
2,18,old_score,local,1,-0.23159180581569672,-0.31693848967552185,0.4105673134326935,-0.32890743017196655
2,18,old_score,local,2,0.2986130118370056,0.14565995335578918,0.4105673134326935,0.13114751875400543
2,18,joint_score,global,0,-0.32266613841056824,-0.30449527502059937,0.3985288441181183,-0.3462568521499634
2,18,joint_score,local,1,-0.23159180581569672,-0.31693848967552185,0.4105673134326935,-0.28088903427124023
2,18,joint_score,local,2,0.2986130118370056,0.14565995335578918,0.4105673134326935,0.17922106385231018
2,19,analytic,global,0,0.2606712877750397,0.07729384303092957,0.3985288441181183,0.07729384303092957
2,19,analytic,local,1,-0.1576041877269745,0.1064700335264206,0.4105673134326935,0.1064700335264206
2,19,analytic,local,2,-0.4295404255390167,-0.06299219280481339,0.4105673134326935,-0.06299219280481339
2,19,old_score,global,0,0.2606712877750397,0.07729384303092957,0.3985288441181183,0.06434211879968643
2,19,old_score,local,1,-0.1576041877269745,0.1064700335264206,0.4105673134326935,0.11705822497606277
2,19,old_score,local,2,-0.4295404255390167,-0.06299219280481339,0.4105673134326935,-0.05147118121385574
2,19,joint_score,global,0,0.2606712877750397,0.07729384303092957,0.3985288441181183,0.06265602260828018
2,19,joint_score,local,1,-0.1576041877269745,0.1064700335264206,0.4105673134326935,0.11849094182252884
2,19,joint_score,local,2,-0.4295404255390167,-0.06299219280481339,0.4105673134326935,-0.05005702003836632
5,0,analytic,global,0,0.06815804541110992,0.4128090441226959,0.27321159839630127,0.4128090441226959
5,0,analytic,local,1,-0.20269550383090973,-0.43280041217803955,0.3277930021286011,-0.43280041217803955
5,0,analytic,local,2,0.17038607597351074,-0.1409706026315689,0.3277930021286011,-0.1409706026315689
5,0,analytic,local,3,0.18143399059772491,0.2787041962146759,0.32779303193092346,0.2787041962146759
5,0,analytic,local,4,0.6675403118133545,0.22494320571422577,0.3277930021286011,0.22494320571422577
5,0,analytic,local,5,0.34766513109207153,0.30232909321784973,0.3277930021286011,0.30232909321784973
5,0,old_score,global,0,0.06815804541110992,0.4128090441226959,0.27321159839630127,0.3604752719402313
